src,ein,legal_name,address,postcode,borough,latitude,longitude
empty,111630919,Young Women's Christian Association of Brooklyn,30 third Avenue,11217-2136,,,
,111630919,"YWCA of Brooklyn, The",30 third avenue,11217,BROOKLYN ,40.68581,-73.980385
,111633484,Edith and Carl Marks Jewish Community House of Bensonhurst,7802 Bay Parkway,11214,BROOKLYN ,40.606369,-73.989235
,111633484,Edith and Carl Marks Jewish Community House of Bensonhurst,7802 Bay Parkway,11214-1508,,,
,111633484,Edith and Carl Marks Jewish Community House of Bensonhurst,7802 Bay Parkway,11214-1508,,,
,111633484,Edith and Carl Marks Jewish Community House of Bensonhurst,7802 Bay Parkway,11214-1508,,,
,111633484,Edith and Carl Marks Jewish Community House of Bensonhurst,Bay Parkway,11214-1508,,,
,111633484,Edith and Carl Marks Jewish Community House of Bensonhurst,7802 Bay parkway,11214,BROOKLYN ,40.606369,-73.989235
,111646313,Italian American Association of St. Mel Roman Catholic Church,26-15 154 street,11354-1546,,,
,111646313,St. Mel's Athletic Association,26-15 154th Street,11354,QUEENS   ,40.773753,-73.809762
,111666228,Corpus Christi Church,31-30 61St Street,11377,QUEENS   ,40.756999,-73.901802
,111666228,Corpus Christi Church,31 - 30 61st Street,11377-1435,,,
,111666228,Roman Catholic Church of Corpus Christi,31 - 30 61st Street,11377-1435,,,
,111666228,Corpus Christi Sports and Youth Association,31 - 30 61Ststreet,11377-1435,,,
,112202799,Sacred Heart School,8405 78 Avenue,11385,QUEENS   ,40.705684,-73.864905
,112202799,Sacred Heart School,83-17 78th Ave,11385,QUEENS   ,40.705619,-73.865742
,112224539,"Elmcor Youth and Adult Activities, Inc.",98-19 Astoria Blvd,11369,QUEENS   ,40.762296,-73.871089
,112224539,"Elmcor Youth and Adult Activities, Inc.",33-16 108th Street,11368,QUEENS   ,40.757429,-73.860938
,112224539,"Elmcor Youth and Adult Activities, Inc.",33-16 108th Street,11368,QUEENS   ,40.757429,-73.860938
,112436149,Queens Economic Development Corporation,120-55 Queens Boulevard Suite 309,11375,QUEENS   ,40.713329,-73.828601
,112436149,Queens Economic Development Corporation,120-55 Queens Blvd,11424,QUEENS   ,40.713329,-73.828601
,112518141,"Greater Ridgewood Youth Council, Inc.",59-03 Summerfield Street,11385-5936,,,
,112518141,"Greater Ridgewood Youth Council, Inc.",59-03 Summerfield Street,11385-5936,,,
,112518141,"Greater Ridgewood Youth Council, Inc.",62-04 Myrtle Avenue,11385,QUEENS   ,40.700894,-73.893211
,112518141,"Greater Ridgewood Youth Council, Inc.",62-04 Myrtle Avenue,11385,QUEENS   ,40.700894,-73.893211
,112601112,"Otsar Family Services, Inc.",2334 West 13th Street,11223,BROOKLYN ,40.590437,-73.983059
,112601112,"Otsar Family Services, Inc.",2334 West 13th Street,11223,BROOKLYN ,40.590437,-73.983059
,112601112,"Otsar Family Services, Inc.",2324 WEST 13TH STREET,11223,BROOKLYN ,40.590588,-73.983088
,112728233,United Jewish Organizations (UJO of Williamsburg),32 Penn St,11249,BROOKLYN ,40.700432,-73.961086
,112728233,United Jewish Organizations (UJO of Williamsburg),32 Penn St,11249,BROOKLYN ,40.700432,-73.961086
,112728233,United Jewish Organizations (UJO of Williamsburg),32 Penn St,11249,BROOKLYN ,40.700432,-73.961086
,112728233,United Jewish Organizations (UJO of Williamsburg),32 Penn St,11249,BROOKLYN ,40.700432,-73.961086
,112728233,United Jewish Organizations (UJO of Williamsburg),32 Penn St,11249,BROOKLYN ,40.700432,-73.961086
,112728233,United Jewish Organizations (UJO of Williamsburg),32 Penn St,11249,BROOKLYN ,40.700432,-73.961086
,112728233,United Jewish Organizations (UJO of Williamsburg),32 Penn St,11249,BROOKLYN ,40.700432,-73.961086
,112728233,"United Jewish Organizations of Williamsburg, Inc.",32 Penn St,11211,BROOKLYN ,40.700432,-73.961086
,112728233,United Jewish Organizations (UJO of Williamsburg),32 Penn St,11249,BROOKLYN ,40.700432,-73.961086
,113146598,"Queens Lesbian and Gay Pride Committee, Inc.",CO Rick Mueller,11226,,,
,113146598,"Queens Lesbian and Gay Pride Committee, Inc.",Co Rick Mueller,11226,,,
,113146598,"Queens Lesbian and Gay Pride Committee, Inc.",co Rick Mueller,11226,,,
,113146598,"Queens Lesbian and Gay Pride Committee, Inc.",co Rick Mueller,11226,,,
,113146598,"Queens Lesbian and Gay Pride Committee, Inc.",111-55th 77th Avenue,11375,,,
,113146598,"Queens Lesbian and Gay Pride Committee, Inc.",111-55 77th Avenue,11375,QUEENS   ,40.715679,-73.834172
,113146598,"Queens Lesbian and Gay Pride Committee, Inc.",111 55 77th Avenure,11375,,,
,113146598,"Queens Lesbian and Gay Pride Committee, Inc.",111-55 77th Ave,11375,QUEENS   ,40.715679,-73.834172
,113146598,"Queens Lesbian and Gay Pride Committee, Inc.",co Rick Mueller,11226,,,
,113235349,"City University of New York School of Law Foundation, Inc., The",CUNY School of Law Foundation - CLRN,11367,QUEENS   ,40.747818,-73.943583
,113235349,"City University of New York School of Law Foundation, Inc., The",CUNY School of Law Foundation - CLRN,11367,QUEENS   ,40.747818,-73.943583
,113235349,"City University of New York School of Law Foundation, Inc., The",CUNY School of Law Foundation - CLRN,11367,QUEENS   ,40.747818,-73.943583
,113235349,"City University of New York School of Law Foundation, Inc., The",CUNY School of Law Foundation - CLRN,11367,QUEENS   ,40.747818,-73.943583
,113235349,"City University of New York School of Law Foundation, Inc., The",CUNY School of Law Foundation - CLRN,11367,QUEENS   ,40.747818,-73.943583
,113235349,"City University of New York School of Law Foundation, Inc., The",CUNY School of Law Foundation - CLRN,11367,QUEENS   ,40.747818,-73.943583
,113235349,"City University of New York School of Law Foundation, Inc., The",CUNY School of Law Foundation - CLRN,11367,QUEENS   ,40.747818,-73.943583
,113235349,"City University of New York School of Law Foundation, Inc., The",Cuny School Of Law - Clrn,11367,,,
,113235349,CUNY School of Law Foundation Inc on behalf of CLRN,CUNY School of Law Foundation- CLRN,11367,QUEENS   ,40.747818,-73.943583
,113362754,"J'Ouvert City International, Inc.",13 Atlantic Commons,11217,BROOKLYN ,40.684192,-73.972655
,113362754,"J'Ouvert City International, Inc.",338 Utica Avenue,11213,BROOKLYN ,40.666501,-73.931353
,113362754,"J'Ouvert City International, Inc.",13 Atlantic Commons,11217,BROOKLYN ,40.684192,-73.972655
,113556789,Unity Plaza Long Island Baptist Senior Club,576 Alabama Avenue,11207,BROOKLYN ,40.66191,-73.89623
,113556789,Unity Plaza Long Island Baptist Senior Club,580 Blake Avenue,11207,BROOKLYN ,40.667436,-73.897457
,113558558,Farragut Tenants Association,"192 Sands Street, Apt. 14B",11201,BROOKLYN ,40.699757,-73.982603
,113558558,Walt Whitman Tenants Association,"81 N. Portland Avenue, Apt. 10G",11205,BROOKLYN ,40.695383,-73.976232
,131624228,Young Mens Christian Association of Greater New York,5 West 63Rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63Rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63Rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Men's Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63Rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63Rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63Rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63Rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131624228,Young Mens Christian Association of Greater New York,5 West 63rd Street 6th Floor,10023,MANHATTAN,40.770689,-73.980465
,131740011,Wildlife Conservation Society,2300 Southern Boulevard,10460,BRONX    ,40.850669,-73.88242
,131740011,Wildlife Conservation Society,2300 Southern Boulevard,10460,BRONX    ,40.850669,-73.88242
,131740011,Wildlife Conservation Society,2300 Southern Boulevard,10460,BRONX    ,40.850669,-73.88242
,131740011,Wildlife Conservation Society,450 Flatbush Avenue,11225,BROOKLYN ,40.665728,-73.964242
,131740011,Wildlife Conservation Society,53-51 111th Street,11368,QUEENS   ,40.743788,-73.847986
,131740011,Wildlife Conservation Society,Surf Avenue at West 8th Street,11224,,,
,131740011,Wildlife Conservation Society,Surf Avenue at West 8th Street,11224,,,
,131740451,Fordham University Biological Science Research Laboratory,Fordham University Office of Government  Urban Affairs,10463,BRONX    ,40.861024,-73.887116
,131740451,Fordham University,441 E Fordham Road,10458,BRONX    ,40.860733,-73.889535
,131988190,Research Foundation of the City University of New York,230 West 41St Street,10036,MANHATTAN,40.755802,-73.988482
,131988190,Research Foundation of the City University of New York,230 West 41St Street,10036,MANHATTAN,40.755802,-73.988482
,131988190,Research Foundation of the City University of New York (Alumni Network - You Can Too),210 West 41st Street 7th Floor,10036,MANHATTAN,40.755632,-73.988078
,131988190,Research Foundation CUNY on behalf of the Center for Law and Social Justice,1150 Carroll Street,11225,BROOKLYN ,40.667253,-73.952195
,131988190,Research Foundation of the City University of New York,230 West 41st Street,10036,MANHATTAN,40.755802,-73.988482
,131988190,Research Foundation of the City University of New York,230 West 41St Street,10036,MANHATTAN,40.755802,-73.988482
,131988190,Research Foundation of the City University of New York,1150 Carroll Street,11225,BROOKLYN ,40.667253,-73.952195
,131988190,Research Foundation of the City University of New York,101 West 31st Street,10001,MANHATTAN,40.748084,-73.989588
,131988190,Research Foundation of the City University of New York,101 West 31st Street,10001,MANHATTAN,40.748084,-73.989588
,131988190,Research Foundation of the City University of New York,101 West 31st Street,10001,MANHATTAN,40.748084,-73.989588
,131988190,Research Foundation of the City University of New York,,,,,
,131988190,Research Foundation of the City University of New York - Citizenship NOW,101 West 31St Street,10001,MANHATTAN,40.748084,-73.989588
,132600199,Legal Services NYC - Staten Island Legal Services,36  Richmond Terrace,10301-1934,,,
,132600199,Legal Services NYC,105 Court Street,11201,BROOKLYN ,40.690793,-73.991825
,132600199,Legal Services NYC,180 Livingston Street  Suite 302,11201,BROOKLYN ,40.690052,-73.986838
,132600199,Legal Services NYC - Brooklyn Branch,105 Court Street,11201,BROOKLYN ,40.690793,-73.991825
,132600199,Legal Services NYC,40 Worth Street,10013,MANHATTAN,40.717363,-74.006897
,132600199,Legal Services NYC,40 Worth Street,10013,MANHATTAN,40.717363,-74.006897
,132600199,Legal Services NYC - Brooklyn Family Defense Project,40 Worth Street,10013,MANHATTAN,40.717363,-74.006897
,132612524,"Fund for the City of New York, Inc. (SMART)",121 Avenue of the Americas,10013,MANHATTAN,40.723903,-74.00469
,132612524,"Fund for the City of New York, Inc.",121 Avenue of the Americas,10013,MANHATTAN,40.723903,-74.00469
,132612524,"Fund for the City of New York, Inc.",121 Avenue of the Americas,10013-1590,,,
,132612524,"Fund for the City of New York, Inc.",121 Avenue Of the Americas,10013,MANHATTAN,40.723903,-74.00469
,132612524,"Fund for the City of New York, Inc.",121 Avenue Of the Americas,10013,MANHATTAN,40.723903,-74.00469
,132612524,"Fund for the City of New York, Inc.",121 Avenue of the Americas,10013,MANHATTAN,40.723903,-74.00469
,132612524,"Fund for the City of New York, Inc.",121 Avenue of the Americas,10013,MANHATTAN,40.723903,-74.00469
,132612524,"Fund for the City of New York, Inc.",121 Avenue of the Americas,10013,MANHATTAN,40.723903,-74.00469
,132612524,"Fund for the City of New York, Inc.",121 Avenue of the Americas,10013,MANHATTAN,40.723903,-74.00469
,132612524,"Fund for the City of New York, Inc.",121 Avenue of the Americas,10013,MANHATTAN,40.723903,-74.00469
,132612524,"Fund for the City of New York, Inc.",121 Avenue of the Americas,10013,MANHATTAN,40.723903,-74.00469
,132612524,"Fund for the City of New York, Inc.",121 Avenue of the Americas,10013,MANHATTAN,40.723903,-74.00469
,132612524,"Fund for the City of New York, Inc.",121 Avenue of the Americas,10013,MANHATTAN,40.723903,-74.00469
,132612524,"Fund for the City of New York, Inc.",121 Avenue Of the Americas,10013,MANHATTAN,40.723903,-74.00469
,132612524,"Fund for the City of New York, Inc.",121 Avenue of the Americas,10013,MANHATTAN,40.723903,-74.00469
,132612524,"Fund for the City of New York, Inc.",121 Avenue Of the Americas,10013,MANHATTAN,40.723903,-74.00469
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th St,10001,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132620896,Jewish Association for Services for the Aged (JASA),247 West 37th Street,10018,MANHATTAN,40.753475,-73.990594
,132725580,"Shadow Box Theatre, Inc., The",138 South Oxford Street,11217,BROOKLYN ,40.685073,-73.973221
,132725580,"Shadow Box Theatre, Inc., The",325 West End Avenue,10023,MANHATTAN,40.782036,-73.98287
