tid,attribute,correct_val
111630919,legal_name,Young Women's Christian Association of Brooklyn
111630919,address,30 third avenue
111630919,postcode,11217
111630919,borough,BROOKLYN 
111630919,latitude,40.68581
111630919,longitude,-73.980385
111633484,legal_name,Edith and Carl Marks Jewish Community House of Bensonhurst
111633484,address,7802 Bay parkway
111633484,postcode,11214
111633484,borough,BROOKLYN 
111633484,latitude,40.606369
111633484,longitude,-73.989235
111646313,legal_name,St. Mel's Athletic Association
111646313,address,26-15 154th Street
111646313,postcode,11354
111646313,borough,QUEENS   
111646313,latitude,40.773753
111646313,longitude,-73.809762
111666228,legal_name,Corpus Christi Church
111666228,address,31-30 61St Street
111666228,postcode,11377
111666228,borough,QUEENS   
111666228,latitude,40.756999
111666228,longitude,-73.901802
112202799,legal_name,Sacred Heart School
112202799,address,8405 78 Avenue
112202799,postcode,11385
112202799,borough,QUEENS   
112202799,latitude,40.705684
112202799,longitude,-73.864905
112224539,legal_name,"Elmcor Youth and Adult Activities, Inc."
112224539,address,33-16 108th Street
112224539,postcode,11368
112224539,borough,QUEENS   
112224539,latitude,40.757429
112224539,longitude,-73.860938
112436149,legal_name,Queens Economic Development Corporation
112436149,address,120-55 Queens Blvd
112436149,postcode,11424
112436149,borough,QUEENS   
112436149,latitude,40.713329
112436149,longitude,-73.828601
112518141,legal_name,"Greater Ridgewood Youth Council, Inc."
112518141,address,59-03 Summerfield Street
112518141,postcode,11385-5936
112518141,borough,QUEENS   
112518141,latitude,40.700894
112518141,longitude,-73.893211
112601112,legal_name,"Otsar Family Services, Inc."
112601112,address,2334 West 13th Street
112601112,postcode,11223
112601112,borough,BROOKLYN 
112601112,latitude,40.590437
112601112,longitude,-73.983059
112728233,legal_name,United Jewish Organizations (UJO of Williamsburg)
112728233,address,32 Penn St
112728233,postcode,11249
112728233,borough,BROOKLYN 
112728233,latitude,40.700432
112728233,longitude,-73.961086
113146598,legal_name,"Queens Lesbian and Gay Pride Committee, Inc."
113146598,address,111-55 77th Avenue
113146598,postcode,11375
113146598,borough,QUEENS   
113146598,latitude,40.715679
113146598,longitude,-73.834172
113235349,legal_name,CUNY School of Law Foundation Inc on behalf of CLRN
113235349,address,CUNY School of Law Foundation- CLRN
113235349,postcode,11367
113235349,borough,QUEENS   
113235349,latitude,40.747818
113235349,longitude,-73.943583
113362754,legal_name,"J'Ouvert City International, Inc."
113362754,address,13 Atlantic Commons
113362754,postcode,11217
113362754,borough,BROOKLYN 
113362754,latitude,40.684192
113362754,longitude,-73.972655
113556789,legal_name,Unity Plaza Long Island Baptist Senior Club
113556789,address,576 Alabama Avenue
113556789,postcode,11207
113556789,borough,BROOKLYN 
113556789,latitude,40.66191
113556789,longitude,-73.89623
113558558,legal_name,Farragut Tenants Association
113558558,address,"192 Sands Street, Apt. 14B"
113558558,postcode,11201
113558558,borough,BROOKLYN 
113558558,latitude,40.699757
113558558,longitude,-73.982603
131624228,legal_name,Young Mens Christian Association of Greater New York
131624228,address,5 West 63Rd Street 6th Floor
131624228,postcode,10023
131624228,borough,MANHATTAN
131624228,latitude,40.770689
131624228,longitude,-73.980465
131740011,legal_name,Wildlife Conservation Society
131740011,address,2300 Southern Boulevard
131740011,postcode,10460
131740011,borough,BRONX    
131740011,latitude,40.850669
131740011,longitude,-73.88242
131740451,legal_name,Fordham University
131740451,address,441 E Fordham Road
131740451,postcode,10458
131740451,borough,BRONX    
131740451,latitude,40.860733
131740451,longitude,-73.889535
131988190,legal_name,Research Foundation of the City University of New York
131988190,address,101 West 31st Street
131988190,postcode,10001
131988190,borough,MANHATTAN
131988190,latitude,40.748084
131988190,longitude,-73.989588
132600199,legal_name,Legal Services NYC
132600199,address,40 Worth Street
132600199,postcode,10013
132600199,borough,MANHATTAN
132600199,latitude,40.717363
132600199,longitude,-74.006897
132612524,legal_name,"Fund for the City of New York, Inc."
132612524,address,121 Avenue Of the Americas
132612524,postcode,10013
132612524,borough,MANHATTAN
132612524,latitude,40.723903
132612524,longitude,-74.00469
132620896,legal_name,Jewish Association for Services for the Aged (JASA)
132620896,address,247 West 37th Street
132620896,postcode,10018
132620896,borough,MANHATTAN
132620896,latitude,40.753475
132620896,longitude,-73.990594
132725580,legal_name,"Shadow Box Theatre, Inc., The"
132725580,address,325 West End Avenue
