tid,attribute,correct_val
9780023606922,title,algorithms
9780023606922,author_list,richard johnsonbaugh; marcus schaefer
9780026648172,title,windows 98: the introductory program with 3.5 data disk
9780026648172,author_list,mcgraw-hill
9780028044071,title,windows 2000 : a tutorial to accompany peter nortons introduction to computers; student edition with cd-rom
9780028044071,author_list,peter norton
9780028048918,title,windows 98: complete course
9780028048918,author_list,robert goldhamer
9780028048970,title,windows 2000: complete course
9780028048970,author_list,robert goldhamer
9780028055879,title,a professional series approach: excel 2000 level 1 core student edition (professional approach s.)
9780028055879,author_list,carole tobias
9780028055893,title,a professional approach series: access 2000 levels 1 and 2 core and expert student edition
9780028055893,author_list,kathleen stewart
9780028055923,title,a professional approach series: word 2000 level 1 core student edition
9780028055923,author_list,deborah hinkle
9780070379909,title,schaum's outline of essential computer mathematics
9780070379909,author_list,seymour lipschutz
9780071345545,title,schaum's outline of introduction to computer science
9780071345545,author_list,pauline cushman;ramon mata-toledo
9780071362856,title,schaum's outline of computer networking
9780071362856,author_list,ed tittel
9780071374736,title,verilog computer-based training course
9780071374736,author_list,zainalabedin navabi
9780071409278,title,complete digital design: a comprehensive guide to digital electronics and computer system architecture (professional engineering)
9780071409278,author_list,mark balch
9780072223194,title,mcse windows server 2003 active directory infrastructure study guide (exam 70-294)
9780072223194,author_list,dennis suhanovs
9780072223224,title,mcse/mcsa managing and maintaining a windows server 2003 environment study guide (exam 70-290)
9780072223224,author_list,anil desai
9780072223255,title,mcse planning a windows server 2003 network study guide (exam 70-293) (certification press)
9780072223255,author_list,diana huggins
9780072224986,title,mcsa windows(r) 2000 boxed set (exams 70-210; 70-215;70-218)
9780072224986,author_list,alan simpson
9780072225648,title,hacking linux exposed; second edition
9780072225648,author_list,brian hatch;james lee
9780072225662,title,mcse/mcsa implementing a windows server 2003 network infrastructure study guide (exam 70-291)
9780072225662,author_list,rory mccaw; kenneth s. lind
9780072225754,title,mike meyers' mcse/mcsa windows server 2003 active directory certification passport (exam 70-294)
9780072225754,author_list,brian culp
9780072226324,title,introduction to pc hardware and troubleshooting
9780072226324,author_list,michael meyers
9780072226959,title,introduction to unix and linux
9780072226959,author_list,john muster
9780072226973,title,network security: the complete reference
9780072226973,author_list,mark rhodes-ousley; roberta bragg; keith strassberg
9780072227413,title,mike meyers' security+ certification passport (passport)
9780072227413,author_list,trevor kay
9780072227765,title,microsoft sql server 2005 new features
9780072227765,author_list,michael otey
9780072227840,title,hacknotes(tm) web security pocket reference
9780072227840,author_list,mike shema
9780072227857,title,hacknotes(tm) windows security portable reference
9780072227857,author_list,michael o'dea
9780072227864,title,hacknotes(tm) linux and unix security portable reference
9780072227864,author_list,nitesh dhanjani
9780072229233,title,the healthy pc: preventive care and home remedies for your computer
9780072229233,author_list,carey holzman
9780072230666,title,oracle database 10g pl/sql programming
9780072230666,author_list,scott urman; ron hardman; michael mclaughlin
9780072230932,title,fundamentals of network security
9780072230932,author_list,eric maiwald
9780072231182,title,mike meyersandapos; a+ guide to managing and troubleshooting pcs lab manual (m-h/cindas data series on material properties)
9780072231182,author_list,michael meyers; lloyd jeffries
9780072231199,title,mike meyers' a+ guide to pc hardware
9780072231199,author_list,michael meyers
9780072231236,title,mike meyers' a+ guide to operating systems lab manual
9780072231236,author_list,michael meyers; michael meyers
9780072231243,title,mike meyers' a+ guide to operating systems
9780072231243,author_list,michael meyers
9780072231465,title,mike meyers' a+ guide to managing and troubleshooting pcs
9780072231465,author_list,michael meyers
9780072231915,title,coreldraw 12 the official guide
9780072231915,author_list,steve bain
9780072232066,title,microsoft office access 2003: a professional approach; comprehensive student edition w/ cd-rom
