flight,scheduled_dept,actual_dept,dept_gate,scheduled_arrival,actual_arrival,arrival_gate
2011-12-01-AA-1221-MCO-ORD,12/01/2011 08:00 PM,12/01/2011 08:23 PM,17,12/01/2011 09:45 PM,12/01/2011 09:53 PM,K7
2011-12-01-AA-4307-ORD-DTW,12/01/2011 06:45 PM,12/01/2011 06:55 PM,G19A,12/01/2011 09:10 PM,12/01/2011 08:53 PM,D28
2011-12-01-AA-616-DFW-DTW,12/01/2011 09:05 AM,12/01/2011 10:10 AM,D37,12/01/2011 12:35 PM,12/01/2011 01:27 PM,D32
2011-12-01-AA-431-MIA-SFO,12/01/2011 08:35 AM,12/01/2011 08:51 AM,E9,12/01/2011 11:50 AM,12/01/2011 11:44 AM,57
2011-12-01-AA-3756-ORD-SLC,12/01/2011 12:15 PM,12/01/2011 12:41 PM,G19,12/01/2011 02:45 PM,12/01/2011 02:50 PM,A3
2011-12-01-AA-2050-ORD-MIA,12/01/2011 10:40 AM,12/01/2011 11:05 AM,H15,12/01/2011 02:45 PM,12/01/2011 02:46 PM,D1
2011-12-01-AA-3804-PHL-ORD,12/01/2011 02:35 PM,12/01/2011 02:44 PM,A7,12/01/2011 04:05 PM,12/01/2011 03:43 PM,H3A
2011-12-01-AA-1664-MIA-ATL,12/01/2011 10:15 AM,12/01/2011 10:18 AM,D1,12/01/2011 12:10 PM,12/01/2011 11:56 AM,T11
2011-12-01-AA-789-ORD-DEN,12/01/2011 01:05 PM,12/01/2011 01:19 PM,H11A,12/01/2011 02:35 PM,12/01/2011 03:13 PM,A49
2011-12-01-AA-4277-CVG-JFK,12/01/2011 12:10 PM,12/01/2011 12:10 PM,1,12/01/2011 02:15 PM,12/01/2011 01:43 PM,32G
2011-12-01-AA-85-JFK-SFO,12/01/2011 03:05 PM,12/01/2011 03:36 PM,39,12/01/2011 06:30 PM,12/01/2011 06:43 PM,56A
2011-12-01-AA-404-MIA-MCO,12/01/2011 06:45 AM,12/01/2011 06:57 AM,E5,12/01/2011 07:45 AM,12/01/2011 07:40 AM,15
2011-12-01-AA-446-DFW-PHL,12/01/2011 11:50 AM,12/01/2011 12:12 PM,D16,12/01/2011 03:50 PM,12/01/2011 04:09 PM,A9
2011-12-01-AA-2268-PHX-ORD,12/01/2011 07:15 AM,12/01/2011 07:22 AM,6,12/01/2011 11:35 AM,12/01/2011 11:06 AM,H15
2011-12-01-AA-4344-ORD-DTW,12/01/2011 11:45 AM,12/01/2011 12:13 PM,G5,12/01/2011 02:00 PM,12/01/2011 02:10 PM,D28
2011-12-01-AA-484-DFW-MIA,12/01/2011 04:15 PM,12/01/2011 04:29 PM,D18,12/01/2011 07:55 PM,12/01/2011 07:39 PM,D43
2011-12-01-AA-3979-CVG-ORD,12/01/2011 07:30 AM,12/01/2011 08:04 AM,1,12/01/2011 08:00 AM,12/01/2011 08:06 AM,G10
2011-12-01-AA-3859-IAH-ORD,12/01/2011 07:10 AM,12/01/2011 07:16 AM,A29,12/01/2011 09:40 AM,12/01/2011 09:32 AM,H5
2011-12-01-AA-3842-MSP-ORD,12/01/2011 06:00 AM,12/01/2011 06:56 AM,E14,12/01/2011 07:30 AM,12/01/2011 07:51 AM,G8
2011-12-01-AA-1544-SAN-ORD,12/01/2011 11:25 AM,12/01/2011 11:40 AM,27,12/01/2011 05:25 PM,12/01/2011 04:56 PM,H17
2011-12-01-AA-518-MIA-JFK,12/01/2011 06:40 AM,12/01/2011 06:54 AM,D22,12/01/2011 09:25 AM,12/01/2011 09:28 AM,6
2011-12-01-AA-2525-DFW-MIA,12/01/2011 07:25 AM,12/01/2011 07:39 AM,C4,12/01/2011 11:10 AM,12/01/2011 11:06 AM,D1
2011-12-01-AA-1279-DFW-PHX,12/01/2011 01:00 PM,12/01/2011 02:04 PM,C36,12/01/2011 02:35 PM,12/01/2011 03:30 PM,4
2011-12-01-AA-1434-DFW-MCO,12/01/2011 07:15 AM,12/01/2011 07:21 AM,D34,12/01/2011 10:35 AM,12/01/2011 10:36 AM,14
2011-12-01-AA-59-JFK-SFO,12/01/2011 07:10 AM,12/01/2011 07:39 AM,36,12/01/2011 10:45 AM,12/01/2011 11:12 AM,58B
2011-12-01-AA-415-BOS-ORD,12/01/2011 08:35 AM,12/01/2011 08:56 AM,B29,12/01/2011 10:40 AM,12/01/2011 10:16 AM,H12
2011-12-01-AA-222-LAX-BOS,12/01/2011 07:10 AM,12/01/2011 07:31 AM,47A,12/01/2011 03:30 PM,12/01/2011 03:14 PM,B36
2011-12-01-AA-1165-JFK-MIA,12/01/2011 06:59 AM,12/01/2011 07:22 AM,8,12/01/2011 10:34 AM,12/01/2011 10:04 AM,D21
2011-12-01-AA-3786-IAH-ORD,12/01/2011 04:00 PM,12/01/2011 04:12 PM,A29,12/01/2011 06:40 PM,12/01/2011 06:15 PM,G13
2011-12-01-AA-4330-CVG-ORD,12/01/2011 03:35 PM,12/01/2011 03:36 PM,5,12/01/2011 04:00 PM,12/01/2011 03:33 PM,G1B
2011-12-01-AA-3468-CVG-MIA,12/01/2011 07:00 AM,12/01/2011 07:25 AM,5,12/01/2011 09:55 AM,12/01/2011 09:45 AM,D60
2011-12-01-AA-466-IAH-MIA,12/01/2011 06:00 AM,12/01/2011 06:08 AM,A27,12/01/2011 09:20 AM,12/01/2011 09:05 AM,D1
2011-12-01-AA-3-JFK-LAX,12/01/2011 12:00 PM,12/01/2011 12:11 PM,44,12/01/2011 03:15 PM,12/01/2011 03:16 PM,48B
2011-12-01-AA-1007-MIA-PHX,12/01/2011 04:55 PM,12/01/2011 05:08 PM,D5,12/01/2011 08:05 PM,12/01/2011 07:55 PM,4
2011-12-01-AA-271-MIA-LAX,12/01/2011 11:35 AM,12/01/2011 11:52 AM,D51,12/01/2011 02:25 PM,12/01/2011 02:27 PM,46A
2011-12-01-AA-643-MIA-ORD,12/01/2011 07:10 AM,12/01/2011 07:30 AM,D3,12/01/2011 09:35 AM,12/01/2011 09:31 AM,K9
2011-12-01-AA-4198-ORD-CLE,12/01/2011 10:40 AM,12/01/2011 10:54 AM,H2,12/01/2011 12:55 PM,12/01/2011 12:50 PM,A1
2011-12-01-AA-400-DFW-JFK,12/01/2011 10:40 AM,12/01/2011 11:01 AM,D18,12/01/2011 02:59 PM,12/01/2011 03:04 PM,33
2011-12-01-AA-1886-BOS-MIA,12/01/2011 10:45 AM,12/01/2011 10:55 AM,B34,12/01/2011 02:20 PM,12/01/2011 01:40 PM,D45
2011-12-01-AA-1917-JFK-MCO,12/01/2011 02:55 PM,12/01/2011 03:27 PM,40,12/01/2011 05:55 PM,12/01/2011 05:43 PM,12
2011-12-01-AA-3809-PHX-LAX,12/01/2011 06:00 AM,12/01/2011 06:10 AM,2,12/01/2011 06:40 AM,12/01/2011 06:19 AM,44F
2011-12-01-AA-2957-DFW-CVG,12/01/2011 07:55 AM,12/01/2011 08:04 AM,B25,12/01/2011 11:05 AM,12/01/2011 11:01 AM,5
2011-12-01-UA-1500-IAH-GUA,Thu- Dec 1 8:55 AM,Thu- Dec 1 9:16 AM            Delayed,E16,Thu- Dec 1 11:45 AM,Thu- Dec 1 11:56 AM,--
2011-12-01-UA-3515-IAD-MSP,Thu- Dec 1 8:15 AM,Thu- Dec 1 8:12 AM,D20,Thu- Dec 1 10:06 AM,Thu- Dec 1 9:56 AM,E10
2011-12-01-UA-664-ORD-PHL,Thu- Dec 1 1:33 PM,Thu- Dec 1 1:31 PM,C30,Thu- Dec 1 4:31 PM,Thu- Dec 1 4:23 PM,D9
2011-12-01-UA-414-LAX-SFO,Thu- Dec 1 6:00 AM,Thu- Dec 1 5:56 AM,73,Thu- Dec 1 7:23 AM,Thu- Dec 1 7:17 AM,85
