tid,attribute,correct_val
1,Address1,1720 university blvd
1,City,birmingham
1,CountyName,jefferson
1,HospitalName,callahan eye foundation hospital
1,HospitalOwner,voluntary non-profit - private
1,HospitalType,acute care hospitals
1,PhoneNumber,2053258100
1,ProviderNumber,10018
1,State,al
1,Stateavg,al_scip-card-2
1,ZipCode,35233
1,a,a
2,Address1,1720 university blvd
2,City,birmingham
2,CountyName,jefferson
2,HospitalName,callahan eye foundation hospital
2,HospitalOwner,voluntary non-profit - private
2,HospitalType,acute care hospitals
2,PhoneNumber,2053258100
2,ProviderNumber,10018
2,State,al
2,Stateavg,al_scip-inf-1
2,ZipCode,35233
2,a,a
3,Address1,1720 university blvd
3,City,birmingham
3,CountyName,jefferson
3,HospitalName,callahan eye foundation hospital
3,HospitalOwner,voluntary non-profit - private
3,HospitalType,acute care hospitals
3,PhoneNumber,2053258100
3,ProviderNumber,10018
3,State,al
3,Stateavg,al_scip-inf-2
3,ZipCode,35233
3,a,a
4,Address1,1720 university blvd
4,City,birmingham
4,CountyName,jefferson
4,HospitalName,callahan eye foundation hospital
4,HospitalOwner,voluntary non-profit - private
4,HospitalType,acute care hospitals
4,PhoneNumber,2053258100
4,ProviderNumber,10018
4,State,al
4,Stateavg,al_scip-inf-3
4,ZipCode,35233
4,a,a
5,Address1,1720 university blvd
5,City,birmingham
5,CountyName,jefferson
5,HospitalName,callahan eye foundation hospital
5,HospitalOwner,voluntary non-profit - private
5,HospitalType,acute care hospitals
5,PhoneNumber,2053258100
5,ProviderNumber,10018
5,State,al
5,Stateavg,al_scip-inf-4
5,ZipCode,35233
5,a,a
6,Address1,1720 university blvd
6,City,birmingham
6,CountyName,jefferson
6,HospitalName,callahan eye foundation hospital
6,HospitalOwner,voluntary non-profit - private
6,HospitalType,acute care hospitals
6,PhoneNumber,2053258100
6,ProviderNumber,10018
6,State,al
6,Stateavg,al_scip-inf-6
6,ZipCode,35233
6,a,a
7,Address1,1720 university blvd
7,City,birmingham
7,CountyName,jefferson
7,HospitalName,callahan eye foundation hospital
7,HospitalOwner,voluntary non-profit - private
7,HospitalType,acute care hospitals
7,PhoneNumber,2053258100
7,ProviderNumber,10018
7,State,al
7,Stateavg,al_scip-vte-1
7,ZipCode,35233
7,a,a
8,Address1,1720 university blvd
8,City,birmingham
8,CountyName,jefferson
8,HospitalName,callahan eye foundation hospital
8,HospitalOwner,voluntary non-profit - private
8,HospitalType,acute care hospitals
8,PhoneNumber,2053258100
8,ProviderNumber,10018
8,State,al
8,Stateavg,al_scip-vte-2
8,ZipCode,35233
8,a,a
9,Address1,1300 south montgomery avenue
9,City,sheffield
9,CountyName,jefferson
9,HospitalName,helen keller memorial hospital
9,HospitalOwner,government - hospital district or authority
9,HospitalType,acute care hospitals
9,PhoneNumber,2563864556
9,ProviderNumber,10019
9,State,al
9,Stateavg,al_ami-1
9,ZipCode,35660
9,a,a
10,Address1,1300 south montgomery avenue
10,City,sheffield
10,CountyName,jefferson
10,HospitalName,helen keller memorial hospital
10,HospitalOwner,government - hospital district or authority
10,HospitalType,acute care hospitals
10,PhoneNumber,2563864556
10,ProviderNumber,10019
10,State,al
10,Stateavg,al_ami-2
10,ZipCode,35660
10,a,a
11,Address1,1300 south montgomery avenue
11,City,sheffield
11,CountyName,jefferson
11,HospitalName,helen keller memorial hospital
11,HospitalOwner,government - hospital district or authority
11,HospitalType,acute care hospitals
11,PhoneNumber,2563864556
11,ProviderNumber,10019
11,State,al
11,Stateavg,al_ami-3
11,ZipCode,35660
11,a,a
12,Address1,1300 south montgomery avenue
12,City,sheffield
12,CountyName,jefferson
12,HospitalName,helen keller memorial hospital
12,HospitalOwner,government - hospital district or authority
12,HospitalType,acute care hospitals
12,PhoneNumber,2563864556
12,ProviderNumber,10019
12,State,al
12,Stateavg,al_ami-4
12,ZipCode,35660
12,a,a
13,Address1,1300 south montgomery avenue
13,City,sheffield
13,CountyName,jefferson
13,HospitalName,helen keller memorial hospital
13,HospitalOwner,government - hospital district or authority
13,HospitalType,acute care hospitals
13,PhoneNumber,2563864556
13,ProviderNumber,10019
13,State,al
13,Stateavg,al_ami-5
13,ZipCode,35660
13,a,a
14,Address1,1300 south montgomery avenue
14,City,sheffield
14,CountyName,jefferson
14,HospitalName,helen keller memorial hospital
14,HospitalOwner,government - hospital district or authority
14,HospitalType,acute care hospitals
14,PhoneNumber,2563864556
14,ProviderNumber,10019
14,State,al
14,Stateavg,al_ami-7a
14,ZipCode,35660
14,a,a
15,Address1,1300 south montgomery avenue
15,City,sheffield
15,CountyName,jefferson
15,HospitalName,helen keller memorial hospital
