hospital_number,Address1,City,CountyName,HospitalName,HospitalOwner,HospitalType,PhoneNumber,ProviderNumber,State,Stateavg,ZipCode,src
1,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-card-2,35233,a
1,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-card-2,35233,d
1,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018a,ala,al_scip-card-2a,35233a,b
1,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-card-2a,35233a,e
1,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-card-2a,35233a,c
2,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-1,35233,b
2,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-1,35233,a
2,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018a,ala,al_scip-inf-1a,35233a,c
2,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-1a,35233a,e
2,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-1a,35233a,d
3,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-2,35233,d
3,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-2,35233,e
3,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018a,ala,al_scip-inf-2a,35233a,a
3,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-2a,35233a,b
3,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-2a,35233a,c
4,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-3,35233,c
4,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-3,35233,d
4,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018a,ala,al_scip-inf-3a,35233a,a
4,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-3a,35233a,b
4,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-3a,35233a,e
5,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-4,35233,c
5,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-4,35233,d
5,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018a,ala,al_scip-inf-4a,35233a,a
5,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-4a,35233a,b
5,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-4a,35233a,e
6,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-6,35233,c
6,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-6,35233,e
6,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018a,ala,al_scip-inf-6a,35233a,b
6,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-6a,35233a,a
6,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-6a,35233a,d
7,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-vte-1,35233,d
7,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-vte-1,35233,b
7,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018a,ala,al_scip-vte-1a,35233a,a
7,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-vte-1a,35233a,c
7,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-vte-1a,35233a,e
8,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-vte-2,35233,b
8,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-vte-2,35233,e
8,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018a,ala,al_scip-vte-2a,35233a,d
8,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-vte-2a,35233a,c
8,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-vte-2a,35233a,a
9,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-1,35660,a
9,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-1,35660,b
9,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_ami-1a,35660a,e
9,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-1a,35660a,d
9,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-1a,35660a,c
10,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-2,35660,c
10,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-2,35660,d
10,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_ami-2a,35660a,e
10,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-2a,35660a,a
10,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-2a,35660a,b
11,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-3,35660,b
11,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-3,35660,e
11,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_ami-3a,35660a,a
11,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-3a,35660a,c
11,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-3a,35660a,d
