hospital_number,Address1,City,CountyName,HospitalName,HospitalOwner,HospitalType,PhoneNumber,ProviderNumber,State,Stateavg,ZipCode
1,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-card-2,35233
1,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-card-2,35233
1,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018a,ala,al_scip-card-2a,35233a
1,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-card-2a,35233a
1,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-card-2a,35233a
2,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-1,35233
2,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-1,35233
2,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018a,ala,al_scip-inf-1a,35233a
2,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-1a,35233a
2,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-1a,35233a
3,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-2,35233
3,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-2,35233
3,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018a,ala,al_scip-inf-2a,35233a
3,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-2a,35233a
3,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-2a,35233a
4,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-3,35233
4,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-3,35233
4,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018a,ala,al_scip-inf-3a,35233a
4,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-3a,35233a
4,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-3a,35233a
5,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-4,35233
5,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-4,35233
5,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018a,ala,al_scip-inf-4a,35233a
5,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-4a,35233a
5,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-4a,35233a
6,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-6,35233
6,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-inf-6,35233
6,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018a,ala,al_scip-inf-6a,35233a
6,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-6a,35233a
6,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-inf-6a,35233a
7,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-vte-1,35233
7,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-vte-1,35233
7,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018a,ala,al_scip-vte-1a,35233a
7,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-vte-1a,35233a
7,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-vte-1a,35233a
8,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-vte-2,35233
8,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018,al,al_scip-vte-2,35233
8,1720 university blvda,birminghama,jeffersona,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100a,10018a,ala,al_scip-vte-2a,35233a
8,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-vte-2a,35233a
8,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018a,ala,al_scip-vte-2a,35233a
9,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-1,35660
9,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-1,35660
9,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_ami-1a,35660a
9,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-1a,35660a
9,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-1a,35660a
10,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-2,35660
10,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-2,35660
10,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_ami-2a,35660a
10,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-2a,35660a
10,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-2a,35660a
11,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-3,35660
11,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-3,35660
11,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_ami-3a,35660a
11,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-3a,35660a
11,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-3a,35660a
12,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-4,35660
12,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-4,35660
12,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_ami-4a,35660a
12,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-4a,35660a
12,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-4a,35660a
13,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-5,35660
13,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-5,35660
13,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_ami-5a,35660a
13,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-5a,35660a
13,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-5a,35660a
14,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-7a,35660
14,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-7a,35660
14,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_ami-7aa,35660a
14,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-7aa,35660a
14,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-7aa,35660a
15,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-8a,35660
15,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-8a,35660
15,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_ami-8aa,35660a
15,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-8aa,35660a
15,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-8aa,35660a
16,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_hf-1,35660
16,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_hf-1,35660
16,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_hf-1a,35660a
16,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_hf-1a,35660a
16,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_hf-1a,35660a
17,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_hf-2,35660
17,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_hf-2,35660
17,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_hf-2a,35660a
17,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_hf-2a,35660a
17,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_hf-2a,35660a
18,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_hf-3,35660
18,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_hf-3,35660
18,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_hf-3a,35660a
18,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_hf-3a,35660a
18,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_hf-3a,35660a
19,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_hf-4,35660
19,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_hf-4,35660
19,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_hf-4a,35660a
19,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_hf-4a,35660a
19,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_hf-4a,35660a
20,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-1,36302
20,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-1,36302
20,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_ami-1a,36302a
20,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-1a,36302a
20,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-1a,36302a
21,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-2,36302
