hospital_number,Address1,City,CountyName,HospitalName,HospitalOwner,HospitalType,PhoneNumber,ProviderNumber,State,Stateavg,ZipCode,a
1,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_scip-card-2,35233,a
2,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_scip-inf-1,35233,a
3,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_scip-inf-2,35233,a
4,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_scip-inf-3,35233,a
5,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_scip-inf-4,35233,a
6,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_scip-inf-6,35233,a
7,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_scip-vte-1,35233,a
8,1720 university blvd,birmingham,jefferson,callahan eye foundation hospital,voluntary non-profit - private,acute care hospitals,2053258100,10018,al,al_scip-vte-2,35233,a
9,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019,al,al_ami-1,35660,a
10,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019,al,al_ami-2,35660,a
11,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019,al,al_ami-3,35660,a
12,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019,al,al_ami-4,35660,a
13,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019,al,al_ami-5,35660,a
14,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019,al,al_ami-7a,35660,a
15,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019,al,al_ami-8a,35660,a
16,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019,al,al_hf-1,35660,a
17,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019,al,al_hf-2,35660,a
18,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019,al,al_hf-3,35660,a
19,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019,al,al_hf-4,35660,a
20,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_ami-1,36302,a
21,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_ami-2,36302,a
22,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_ami-3,36302,a
