tid,attribute,correct_val
stock-2011-07-01aapl,high,$ 343.50
stock-2011-07-01aapl,flat_change,7.59
stock-2011-07-01aapl,last,$ 343.26
stock-2011-07-01aapl,wklow,$ 235.56
stock-2011-07-01aapl,prev_close,$ 335.67
stock-2011-07-01aapl,volume,15-447-286
stock-2011-07-01aapl,wkhigh,$ 364.90
stock-2011-07-01aapl,low,$ 334.20
stock-2011-07-01aapl,percent_change,2.26%
stock-2011-07-01aapl,open,$ 335.95
stock-2011-07-01adbe,high,$ 31.65
stock-2011-07-01adbe,flat_change,0.08
stock-2011-07-01adbe,last,$ 31.53
stock-2011-07-01adbe,wklow,$ 25.45
stock-2011-07-01adbe,prev_close,$ 31.45
stock-2011-07-01adbe,volume,4-107-435
stock-2011-07-01adbe,wkhigh,$ 35.99
stock-2011-07-01adbe,low,$ 31.24
stock-2011-07-01adbe,percent_change,0.25%
stock-2011-07-01adbe,open,$ 31.33
stock-2011-07-01adp,high,$ 53.99
stock-2011-07-01adp,flat_change,1.21
stock-2011-07-01adp,last,$ 53.89
stock-2011-07-01adp,wklow,$ 38.41
stock-2011-07-01adp,prev_close,$ 52.68
stock-2011-07-01adp,volume,2-951-543
stock-2011-07-01adp,wkhigh,$ 55.12
stock-2011-07-01adp,low,$ 52.48
stock-2011-07-01adp,percent_change,2.3%
stock-2011-07-01adp,open,$ 52.56
stock-2011-07-01adsk,high,$ 38.89
stock-2011-07-01adsk,flat_change,0.1
stock-2011-07-01adsk,last,$ 38.70
stock-2011-07-01adsk,wklow,$ 23.64
stock-2011-07-01adsk,prev_close,$ 38.60
stock-2011-07-01adsk,volume,3-268-365
stock-2011-07-01adsk,wkhigh,$ 46.15
stock-2011-07-01adsk,low,$ 38.44
stock-2011-07-01adsk,percent_change,0.26%
stock-2011-07-01adsk,open,$ 38.60
stock-2011-07-01akam,high,$ 31.65
stock-2011-07-01akam,flat_change,0.02
stock-2011-07-01akam,last,$ 31.49
stock-2011-07-01akam,wklow,$ 28.69
stock-2011-07-01akam,prev_close,$ 31.47
stock-2011-07-01akam,volume,5-000-537
stock-2011-07-01akam,wkhigh,$ 54.65
stock-2011-07-01akam,low,$ 30.98
stock-2011-07-01akam,percent_change,0.06%
stock-2011-07-01akam,open,$ 31.37
stock-2011-07-01altr,high,$ 47.75
stock-2011-07-01altr,flat_change,1.18
stock-2011-07-01altr,last,$ 47.53
stock-2011-07-01altr,wklow,$ 24.20
stock-2011-07-01altr,prev_close,$ 46.35
stock-2011-07-01altr,volume,3-756-676
stock-2011-07-01altr,wkhigh,$ 49.59
stock-2011-07-01altr,low,$ 46.20
stock-2011-07-01altr,percent_change,2.55%
stock-2011-07-01altr,open,$ 46.44
stock-2011-07-01alxn,high,$ 47.51
stock-2011-07-01alxn,flat_change,0.48
stock-2011-07-01alxn,last,$ 47.51
stock-2011-07-01alxn,wklow,$ 24.305
stock-2011-07-01alxn,prev_close,$ 47.03
stock-2011-07-01alxn,volume,841-901
stock-2011-07-01alxn,wkhigh,$ 52.50
stock-2011-07-01alxn,low,$ 46.91
stock-2011-07-01alxn,percent_change,1.02%
stock-2011-07-01alxn,open,$ 46.91
stock-2011-07-01amat,high,$ 13.31
stock-2011-07-01amat,flat_change,0.28
stock-2011-07-01amat,last,$ 13.29
stock-2011-07-01amat,wklow,$ 10.27
stock-2011-07-01amat,prev_close,$ 13.01
stock-2011-07-01amat,volume,11-620-332
stock-2011-07-01amat,wkhigh,$ 16.93
stock-2011-07-01amat,low,$ 12.88
stock-2011-07-01amat,percent_change,2.15%
stock-2011-07-01amat,open,$ 13.01
stock-2011-07-01amgn,high,$ 58.44
stock-2011-07-01amgn,flat_change,0.07
stock-2011-07-01amgn,last,$ 58.28
stock-2011-07-01amgn,wklow,$ 50.26
stock-2011-07-01amgn,prev_close,$ 58.35
stock-2011-07-01amgn,volume,5-227-063
stock-2011-07-01amgn,wkhigh,$ 61.53
stock-2011-07-01amgn,low,$ 57.89
stock-2011-07-01amgn,percent_change,0.12%
stock-2011-07-01amgn,open,$ 58.44
stock-2011-07-01amzn,high,$ 210.27
stock-2011-07-01amzn,flat_change,5.0
stock-2011-07-01amzn,last,$ 209.49
stock-2011-07-01amzn,wklow,$ 105.80
stock-2011-07-01amzn,prev_close,$ 204.49
stock-2011-07-01amzn,volume,3-978-982
stock-2011-07-01amzn,wkhigh,$ 206.39
stock-2011-07-01amzn,low,$ 203.61
stock-2011-07-01amzn,percent_change,2.45%
stock-2011-07-01amzn,open,$ 205.55
stock-2011-07-01apol,high,$ 47.72
stock-2011-07-01apol,flat_change,2.78
stock-2011-07-01apol,last,$ 46.46
stock-2011-07-01apol,wklow,$ 33.75
stock-2011-07-01apol,prev_close,$ 43.68
stock-2011-07-01apol,volume,6-387-831
stock-2011-07-01apol,wkhigh,$ 53.61
stock-2011-07-01apol,low,$ 45.62
stock-2011-07-01apol,percent_change,6.36%
stock-2011-07-01apol,open,$ 45.98
stock-2011-07-01atvi,high,$ 11.88
stock-2011-07-01atvi,flat_change,0.16
stock-2011-07-01atvi,last,$ 11.84
stock-2011-07-01atvi,wklow,$ 10.32
stock-2011-07-01atvi,prev_close,$ 11.68
stock-2011-07-01atvi,volume,3-428-756
stock-2011-07-01atvi,wkhigh,$ 12.65
stock-2011-07-01atvi,low,$ 11.64
stock-2011-07-01atvi,percent_change,1.37%
stock-2011-07-01atvi,open,$ 11.71
stock-2011-07-01bbby,high,$ 59.525
stock-2011-07-01bbby,flat_change,1.02
stock-2011-07-01bbby,last,$ 59.39
stock-2011-07-01bbby,wklow,$ 35.55
stock-2011-07-01bbby,prev_close,$ 58.37
