date_symbol,high,flat_change,last,wklow,prev_close,volume,wkhigh,low,percent_change,open
stock-2011-07-01aapl,$ 343.50,7.59,$ 343.26,$ 235.56,$ 335.67,15-447-286,$ 364.90,$ 334.20,2.26%,$ 335.95
stock-2011-07-01adbe,$ 31.65,0.08,$ 31.53,$ 25.45,$ 31.45,4-107-435,$ 35.99,$ 31.24,0.25%,$ 31.33
stock-2011-07-01adp,$ 53.99,1.21,$ 53.89,$ 38.41,$ 52.68,2-951-543,$ 55.12,$ 52.48,2.3%,$ 52.56
stock-2011-07-01adsk,$ 38.89,0.1,$ 38.70,$ 23.64,$ 38.60,3-268-365,$ 46.15,$ 38.44,0.26%,$ 38.60
stock-2011-07-01akam,$ 31.65,0.02,$ 31.49,$ 28.69,$ 31.47,5-000-537,$ 54.65,$ 30.98,0.06%,$ 31.37
stock-2011-07-01altr,$ 47.75,1.18,$ 47.53,$ 24.20,$ 46.35,3-756-676,$ 49.59,$ 46.20,2.55%,$ 46.44
stock-2011-07-01alxn,$ 47.51,0.48,$ 47.51,$ 24.305,$ 47.03,841-901,$ 52.50,$ 46.91,1.02%,$ 46.91
stock-2011-07-01amat,$ 13.31,0.28,$ 13.29,$ 10.27,$ 13.01,11-620-332,$ 16.93,$ 12.88,2.15%,$ 13.01
stock-2011-07-01amgn,$ 58.44,0.07,$ 58.28,$ 50.26,$ 58.35,5-227-063,$ 61.53,$ 57.89,0.12%,$ 58.44
stock-2011-07-01amzn,$ 210.27,5.0,$ 209.49,$ 105.80,$ 204.49,3-978-982,$ 206.39,$ 203.61,2.45%,$ 205.55
stock-2011-07-01apol,$ 47.72,2.78,$ 46.46,$ 33.75,$ 43.68,6-387-831,$ 53.61,$ 45.62,6.36%,$ 45.98
stock-2011-07-01atvi,$ 11.88,0.16,$ 11.84,$ 10.32,$ 11.68,3-428-756,$ 12.65,$ 11.64,1.37%,$ 11.71
stock-2011-07-01bbby,$ 59.525,1.02,$ 59.39,$ 35.55,$ 58.37,2-185-264,$ 58.62,$ 58.40,1.75%,$ 58.48
stock-2011-07-01bidu,$ 143.35,3.216,$ 143.346,$ 65.90,$ 140.13,7-198-371,$ 156.04,$ 138.90,2.3%,$ 139.44
stock-2011-07-01biib,$ 108.64,1.58,$ 108.50,$ 46.15,$ 106.92,1-669-257,$ 109.63,$ 106.92,1.48%,$ 107.35
stock-2011-07-01bmc,$ 56.10,1.09,$ 55.79,$ 34.24,$ 54.70,2-300-895,$ 56.16,$ 54.80,1.99%,$ 54.84
stock-2011-07-01brcm,$ 34.70,0.77,$ 34.41,$ 29.90,$ 33.64,6-380-973,$ 47.39,$ 33.59,2.29%,$ 33.82
stock-2011-07-01ca,$ 23.18,0.33,$ 23.17,$ 17.70,$ 22.84,3-177-246,$ 25.68,$ 22.77,1.44%,$ 22.87
stock-2011-07-01celg,$ 60.97,0.56,$ 60.88,$ 48.02,$ 60.32,2-460-853,$ 63.46,$ 60.17,0.93%,$ 60.75
stock-2011-07-01cern,$ 62.59,1.43,$ 62.54,$ 36.025,$ 61.11,949-101,$ 62.955,$ 60.82,2.34%,$ 61.36
stock-2011-07-01chkp,$ 56.89,0.10,$ 56.75,$ 28.82,$ 56.85,1-521-553,$ 56.923,$ 56.25,0.18%,$ 56.64
stock-2011-07-01chrw,$ 80.99,1.78,$ 80.62,$ 54.50,$ 78.84,971-143,$ 82.05,$ 78.8426,2.26%,$ 79.10
stock-2011-07-01cmcsa,$ 25.79,0.5025,$ 25.73,$ 16.76,$ 25.2275,11-607-337,$ 27.16,$ 25.17,1.99%,$ 25.30
stock-2011-07-01cost,$ 81.70,0.3,$ 81.54,$ 53.41,$ 81.24,2-073-601,$ 83.95,$ 81.04,0.37%,$ 81.50
stock-2011-07-01csco,$ 15.95,0.25,$ 15.86,$ 14.78,$ 15.61,56-482-911,$ 26,$ 15.60,1.6%,$ 15.65
stock-2011-07-01ctrp,$ 44.17,0.97,$ 44.05,$ 31.35,$ 43.08,1-345-909,$ 53.16,$ 42.68,2.25%,$ 43.24
stock-2011-07-01ctsh,$ 74.8596,1.46,$ 74.80,$ 48.98,$ 73.34,2-153-733,$ 83.48,$ 73.1201,1.99%,$ 73.48
stock-2011-07-01ctxs,$ 81.32,0.78,$ 80.78,$ 41.62,$ 80,1-659-407,$ 88.4895,$ 79.97,0.98%,$ 80.31
stock-2011-07-01dell,$ 17,0.31,$ 16.98,$ 11.34,$ 16.67,13-649-145,$ 16.96,$ 16.60,1.86%,$ 16.70
stock-2011-07-01dltr,$ 68.50,1.61,$ 68.23,$ 40.60,$ 66.62,934-370,$ 67.99,$ 66.74,2.42%,$ 67.02
stock-2011-07-01dtv,$ 51.84,0.94,$ 51.76,$ 33.25,$ 50.82,3-683-228,$ 51.23,$ 50.78,1.85%,$ 51.11
stock-2011-07-01ebay,$ 32.80,0.47,$ 32.74,$ 19.06,$ 32.27,12-847-872,$ 35.35,$ 31.99,1.46%,$ 32.22
stock-2011-07-01erts,$ 24.20,0.59,$ 24.19,$ 14.06,$ 23.60,4-768-735,$ 24.79,$ 23.40,2.5%,$ 23.57
stock-2011-07-01esrx,$ 54.35,0.02,$ 53.96,$ 41.55,$ 53.98,6-187-177,$ 60.89,$ 53.78,0.04%,$ 54.08
stock-2011-07-01expd,$ 52.49,1.24,$ 52.43,$ 33.65,$ 51.19,1-128-328,$ 57.15,$ 51.19,2.42%,$ 51.21
stock-2011-07-01expe,$ 29.63,0.55,$ 29.54,$ 18.30,$ 28.99,2-251-336,$ 29.85,$ 28.89,1.9%,$ 28.96
stock-2011-07-01fast,$ 36.71,0.66,$ 36.65,$ 22.32,$ 35.99,2-930-250,$ 36.42,$ 36,1.83%,$ 36.04
stock-2011-07-01ffiv,$ 113.33,2.91,$ 113.16,$ 66.79,$ 110.25,1-425-728,$ 145.76,$ 110.13,2.64%,$ 110.83
stock-2011-07-01fisv,$ 64,1.115,$ 63.745,$ 44.85,$ 62.63,717-087,$ 64.89,$ 62.38,1.78%,$ 62.77
stock-2011-07-01flex,$ 6.61,0.18,$ 6.60,$ 4.86,$ 6.42,3-868-464,$ 8.50,$ 6.42,2.8%,$ 6.45
stock-2011-07-01flir,$ 34.28,0.49,$ 34.20,$ 24,$ 33.71,1-056-852,$ 37.29,$ 33.34,1.45%,$ 33.58
stock-2011-07-01fslr,$ 133.48,0.79,$ 133.06,$ 111.40,$ 132.27,1-735-871,$ 175.449,$ 129.1109,0.6%,$ 130.66
stock-2011-07-01gild,$ 41.97,0.54,$ 41.95,$ 31.73,$ 41.41,6-135-825,$ 42.93,$ 41.38,1.3%,$ 41.44
stock-2011-07-01gmcr,$ 90.94,1.09,$ 90.35,$ 24.84,$ 89.26,1-174-196,$ 90.01,$ 89.16,1.22%,$ 89.61
stock-2011-07-01goog,$ 521.18,14.648,$ 521.028,$ 433.63,$ 506.38,3-594-065,$ 642.96,$ 506.38,2.89%,$ 506.74
stock-2011-07-01grmn,$ 33.72,0.55,$ 33.58,$ 26.11,$ 33.03,1-253-241,$ 36.42,$ 33.05,1.67%,$ 33.12
stock-2011-07-01hsic,$ 73.01,1.35,$ 72.94,$ 50.96,$ 71.59,388-970,$ 74.48,$ 71.28,1.89%,$ 71.73
stock-2011-07-01ilmn,$ 76.39,0.86,$ 76.01,$ 41.155,$ 75.15,1-127-564,$ 76.81,$ 74.85,1.14%,$ 75.16
stock-2011-07-01infy,$ 66.14,0.84,$ 66.07,$ 56.73,$ 65.23,1-123-894,$ 77.92,$ 65.26,1.29%,$ 65.60
stock-2011-07-01intc,$ 22.58,0.37,$ 22.53,$ 17.60,$ 22.16,35-364-863,$ 23.96,$ 22.10,1.67%,$ 22.25
stock-2011-07-01intu,$ 52.37,0.38,$ 52.24,$ 34,$ 51.86,1-561-430,$ 56.46,$ 51.63,0.73%,$ 51.97
stock-2011-07-01isrg,$ 379.40,6.54,$ 378.65,$ 246.05,$ 372.11,228-489,$ 377.84,$ 371.44,1.76%,$ 373.25
stock-2011-07-01joyg,$ 97.53,1.9,$ 97.14,$ 48.05,$ 95.24,1-967-331,$ 103.44,$ 93.69,1.99%,$ 94.68
stock-2011-07-01klac,$ 41.631,0.97,$ 41.45,$ 26.69,$ 40.48,1-731-795,$ 51.83,$ 40.21,2.4%,$ 40.53
stock-2011-07-01life,$ 52.61,0.26,$ 52.33,$ 41.10,$ 52.07,2-310-985,$ 57.25,$ 51.83,0.5%,$ 52.24
stock-2011-07-01linta,$ 17.24,0.42,$ 17.19,$ 10.075,$ 16.77,3-342-206,$ 18.645,$ 16.70,2.5%,$ 16.78
stock-2011-07-01lltc,$ 33.54,0.41,$ 33.43,$ 27.03,$ 33.02,2-109-369,$ 36.14,$ 32.97,1.24%,$ 33.09
stock-2011-07-01lrcx,$ 45.65,0.99,$ 45.27,$ 35.39,$ 44.28,1-518-071,$ 59.10,$ 43.8992,2.24%,$ 44.32
stock-2011-07-01mat,$ 28,0.5,$ 27.99,$ 20.57,$ 27.49,2-211-845,$ 27.73,$ 27.49,1.82%,$ 27.55
stock-2011-07-01mchp,$ 38.49,0.44,$ 38.35,$ 27.19,$ 37.91,1-383-356,$ 41.50,$ 37.76,1.16%,$ 37.98
stock-2011-07-01mrvl,$ 15.20,0.345,$ 15.11,$ 13.17,$ 14.765,9-688-961,$ 22.01,$ 14.70,2.34%,$ 14.79
stock-2011-07-01msft,$ 26.17,0.02,$ 26.02,$ 22.73,$ 26,49-590-671,$ 29.46,$ 25.84,0.08%,$ 25.95
stock-2011-07-01mu,$ 7.85,0.35,$ 7.83,$ 6.36,$ 7.48,30-554-681,$ 11.95,$ 7.37,4.68%,$ 7.46
stock-2011-07-01mxim,$ 26.09,0.33,$ 25.89,$ 15.67,$ 25.56,1-652-343,$ 28.44,$ 25.48,1.29%,$ 25.56
stock-2011-07-01myl,$ 24.99,0.3,$ 24.97,$ 16.55,$ 24.67,4-476-181,$ 25.46,$ 24.52,1.22%,$ 24.67
stock-2011-07-01nflx,$ 268.26,5.3,$ 267.99,$ 95.33,$ 262.69,3-983-324,$ 277.70,$ 262.06,2.02%,$ 262.06
stock-2011-07-01nihd,$ 43.18,0.77,$ 43.15,$ 32.36,$ 42.38,978-948,$ 46.32,$ 41.97,1.82%,$ 42.27
stock-2011-07-01ntap,$ 54.57,1.54,$ 54.32,$ 36.66,$ 52.78,8-699-525,$ 61.02,$ 53.07,2.92%,$ 53.51
stock-2011-07-01nvda,$ 16.21,0.21,$ 16.145,$ 8.65,$ 15.935,13-396-378,$ 26.17,$ 15.62,1.32%,$ 15.94
stock-2011-07-01nwsa,$ 18.07,0.36,$ 18.06,$ 11.61,$ 17.70,12-861-466,$ 18.35,$ 17.58,2.03%,$ 17.74
stock-2011-07-01orcl,$ 33.20,0.14,$ 33.05,$ 21.24,$ 32.91,25-214-864,$ 36.50,$ 32.48,0.43%,$ 32.89
stock-2011-07-01orly,$ 66.52,0.7,$ 66.21,$ 45.65,$ 65.51,1-642-876,$ 65.63,$ 65.55,1.07%,$ 65.61
