tid,attribute,correct_val
stock-2011-07-01aapl,wkhigh,364.90
stock-2011-07-01aapl,flat_change,7.59
stock-2011-07-01aapl,last,343.26
stock-2011-07-01aapl,wklow,235.56
stock-2011-07-01aapl,prev_close,335.67
stock-2011-07-01aapl,high,343.5
stock-2011-07-01aapl,low,334.2
stock-2011-07-01aapl,open,335.95
stock-2011-07-01adbe,wkhigh,35.99
stock-2011-07-01adbe,flat_change,0.08
stock-2011-07-01adbe,last,31.53
stock-2011-07-01adbe,wklow,25.45
stock-2011-07-01adbe,prev_close,31.45
stock-2011-07-01adbe,high,31.65
stock-2011-07-01adbe,low,31.24
stock-2011-07-01adbe,open,31.33
stock-2011-07-01adp,wkhigh,55.12
stock-2011-07-01adp,flat_change,1.21
stock-2011-07-01adp,last,53.89
stock-2011-07-01adp,wklow,38.41
stock-2011-07-01adp,prev_close,52.68
stock-2011-07-01adp,high,53.99
stock-2011-07-01adp,low,52.48
stock-2011-07-01adp,open,52.56
stock-2011-07-01adsk,wkhigh,46.15
stock-2011-07-01adsk,flat_change,0.1
stock-2011-07-01adsk,last,38.7
stock-2011-07-01adsk,wklow,23.64
stock-2011-07-01adsk,prev_close,38.6
stock-2011-07-01adsk,high,38.89
stock-2011-07-01adsk,low,38.44
stock-2011-07-01adsk,open,38.6
stock-2011-07-01akam,wkhigh,54.65
stock-2011-07-01akam,flat_change,0.02
stock-2011-07-01akam,last,31.49
stock-2011-07-01akam,wklow,28.69
stock-2011-07-01akam,prev_close,31.47
stock-2011-07-01akam,high,31.65
stock-2011-07-01akam,low,30.98
stock-2011-07-01akam,open,31.37
stock-2011-07-01altr,wkhigh,49.59
stock-2011-07-01altr,flat_change,1.18
stock-2011-07-01altr,last,47.53
stock-2011-07-01altr,wklow,24.2
stock-2011-07-01altr,prev_close,46.35
stock-2011-07-01altr,high,47.75
stock-2011-07-01altr,low,46.2
stock-2011-07-01altr,open,46.44
stock-2011-07-01alxn,wkhigh,52.50
stock-2011-07-01alxn,flat_change,0.48
stock-2011-07-01alxn,last,47.51
stock-2011-07-01alxn,wklow,24.31
stock-2011-07-01alxn,prev_close,47.03
stock-2011-07-01alxn,high,47.51
stock-2011-07-01alxn,low,46.91
stock-2011-07-01alxn,open,46.91
stock-2011-07-01amat,wkhigh,16.93
stock-2011-07-01amat,flat_change,0.28
stock-2011-07-01amat,last,13.29
stock-2011-07-01amat,wklow,10.27
stock-2011-07-01amat,prev_close,13.01
stock-2011-07-01amat,high,13.31
stock-2011-07-01amat,low,12.88
stock-2011-07-01amat,open,13.01
stock-2011-07-01amgn,wkhigh,61.53
stock-2011-07-01amgn,flat_change,-0.07
stock-2011-07-01amgn,last,58.28
stock-2011-07-01amgn,wklow,50.26
stock-2011-07-01amgn,prev_close,58.35
stock-2011-07-01amgn,high,58.44
stock-2011-07-01amgn,low,57.89
stock-2011-07-01amgn,open,58.44
stock-2011-07-01amzn,wkhigh,210.27
stock-2011-07-01amzn,flat_change,5.0
stock-2011-07-01amzn,last,209.49
stock-2011-07-01amzn,wklow,105.8
stock-2011-07-01amzn,prev_close,204.49
stock-2011-07-01amzn,high,210.27
stock-2011-07-01amzn,low,203.61
stock-2011-07-01amzn,open,205.55
stock-2011-07-01apol,wkhigh,53.61
stock-2011-07-01apol,flat_change,2.78
stock-2011-07-01apol,last,46.46
stock-2011-07-01apol,wklow,33.75
stock-2011-07-01apol,prev_close,43.68
stock-2011-07-01apol,high,47.72
stock-2011-07-01apol,low,45.62
stock-2011-07-01apol,open,45.98
stock-2011-07-01atvi,wkhigh,12.65
stock-2011-07-01atvi,flat_change,0.16
stock-2011-07-01atvi,last,11.84
stock-2011-07-01atvi,wklow,10.32
stock-2011-07-01atvi,prev_close,11.68
stock-2011-07-01atvi,high,11.88
stock-2011-07-01atvi,low,11.64
stock-2011-07-01atvi,open,11.71
stock-2011-07-01bbby,wkhigh,59.53
stock-2011-07-01bbby,flat_change,1.02
stock-2011-07-01bbby,last,59.39
stock-2011-07-01bbby,wklow,35.55
stock-2011-07-01bbby,prev_close,58.37
stock-2011-07-01bbby,high,59.53
stock-2011-07-01bbby,low,58.4
stock-2011-07-01bbby,open,58.48
stock-2011-07-01bidu,wkhigh,156.04
stock-2011-07-01bidu,flat_change,3.22
stock-2011-07-01bidu,last,143.35
stock-2011-07-01bidu,wklow,65.9
stock-2011-07-01bidu,prev_close,140.13
stock-2011-07-01bidu,high,143.35
stock-2011-07-01bidu,low,138.9
stock-2011-07-01bidu,open,139.44
stock-2011-07-01biib,wkhigh,109.63
stock-2011-07-01biib,flat_change,1.58
stock-2011-07-01biib,last,108.5
stock-2011-07-01biib,wklow,46.15
stock-2011-07-01biib,prev_close,106.92
stock-2011-07-01biib,high,108.64
stock-2011-07-01biib,low,106.92
stock-2011-07-01biib,open,107.35
stock-2011-07-01bmc,wkhigh,56.16
stock-2011-07-01bmc,flat_change,1.09
stock-2011-07-01bmc,last,55.79
stock-2011-07-01bmc,wklow,34.24
stock-2011-07-01bmc,prev_close,54.7
stock-2011-07-01bmc,high,56.1
stock-2011-07-01bmc,low,54.8
stock-2011-07-01bmc,open,54.84
stock-2011-07-01brcm,wkhigh,47.39
stock-2011-07-01brcm,flat_change,0.77
stock-2011-07-01brcm,last,34.41
stock-2011-07-01brcm,wklow,29.9
stock-2011-07-01brcm,prev_close,33.64
stock-2011-07-01brcm,high,34.7
stock-2011-07-01brcm,low,33.59
stock-2011-07-01brcm,open,33.82
stock-2011-07-01ca,wkhigh,25.68
stock-2011-07-01ca,flat_change,0.33
stock-2011-07-01ca,last,23.17
stock-2011-07-01ca,wklow,17.7
stock-2011-07-01ca,prev_close,22.84
stock-2011-07-01ca,high,23.18
stock-2011-07-01ca,low,22.77
stock-2011-07-01ca,open,22.87
stock-2011-07-01celg,wkhigh,63.46
stock-2011-07-01celg,flat_change,0.56
stock-2011-07-01celg,last,60.88
stock-2011-07-01celg,wklow,48.02
stock-2011-07-01celg,prev_close,60.32
stock-2011-07-01celg,high,60.97
stock-2011-07-01celg,low,60.17
stock-2011-07-01celg,open,60.75
stock-2011-07-01cern,wkhigh,62.96
stock-2011-07-01cern,flat_change,1.43
stock-2011-07-01cern,last,62.54
stock-2011-07-01cern,wklow,36.03
stock-2011-07-01cern,prev_close,61.11
stock-2011-07-01cern,high,62.59
stock-2011-07-01cern,low,60.82
stock-2011-07-01cern,open,61.36
stock-2011-07-01chkp,wkhigh,56.92
stock-2011-07-01chkp,flat_change,-0.1
stock-2011-07-01chkp,last,56.75
stock-2011-07-01chkp,wklow,28.82
stock-2011-07-01chkp,prev_close,56.85
stock-2011-07-01chkp,high,56.89
stock-2011-07-01chkp,low,56.25
stock-2011-07-01chkp,open,56.64
stock-2011-07-01chrw,wkhigh,82.05
stock-2011-07-01chrw,flat_change,1.78
stock-2011-07-01chrw,last,80.62
stock-2011-07-01chrw,wklow,54.5
stock-2011-07-01chrw,prev_close,78.84
stock-2011-07-01chrw,high,80.99
stock-2011-07-01chrw,low,78.84
stock-2011-07-01chrw,open,79.1
stock-2011-07-01cmcsa,wkhigh,27.16
stock-2011-07-01cmcsa,flat_change,0.50
stock-2011-07-01cmcsa,last,25.73
stock-2011-07-01cmcsa,wklow,16.76
stock-2011-07-01cmcsa,prev_close,25.23
stock-2011-07-01cmcsa,high,25.79
stock-2011-07-01cmcsa,low,25.17
stock-2011-07-01cmcsa,open,25.3
stock-2011-07-01cost,wkhigh,83.95
stock-2011-07-01cost,flat_change,0.3
stock-2011-07-01cost,last,81.54
stock-2011-07-01cost,wklow,53.41
stock-2011-07-01cost,prev_close,81.24
stock-2011-07-01cost,high,81.7
stock-2011-07-01cost,low,81.04
stock-2011-07-01cost,open,81.5
stock-2011-07-01csco,wkhigh,26.00
stock-2011-07-01csco,flat_change,0.25
stock-2011-07-01csco,last,15.86
stock-2011-07-01csco,wklow,14.78
stock-2011-07-01csco,prev_close,15.61
stock-2011-07-01csco,high,15.95
stock-2011-07-01csco,low,15.6
stock-2011-07-01csco,open,15.63
stock-2011-07-01ctrp,wkhigh,53.16
stock-2011-07-01ctrp,flat_change,0.97
stock-2011-07-01ctrp,last,44.05
stock-2011-07-01ctrp,wklow,31.35
stock-2011-07-01ctrp,prev_close,43.08
stock-2011-07-01ctrp,high,44.17
stock-2011-07-01ctrp,low,42.68
stock-2011-07-01ctrp,open,43.24
stock-2011-07-01ctsh,wkhigh,83.48
stock-2011-07-01ctsh,flat_change,1.46
stock-2011-07-01ctsh,last,74.8
stock-2011-07-01ctsh,wklow,48.98
stock-2011-07-01ctsh,prev_close,73.34
