tid,attribute,correct_val
losangeles--tue feb 2 12:50:00 2010,temperature,52.5
losangeles--tue feb 2 12:50:00 2010,dewpoint,50
losangeles--tue feb 2 12:50:00 2010,visibility,4
losangeles--tue feb 2 12:50:00 2010,humidity,86
losangeles--tue feb 2 12:50:00 2010,windspeed,calm
losangeles--tue feb 2 12:50:00 2010,conditions,overcast
washington--sun jan 31 20:30:00 2010,temperature,30
washington--sun jan 31 20:30:00 2010,dewpoint,3
washington--sun jan 31 20:30:00 2010,visibility,10
washington--sun jan 31 20:30:00 2010,humidity,31
washington--sun jan 31 20:30:00 2010,windspeed,6
washington--sun jan 31 20:30:00 2010,conditions,clear
sanantonio--sat jan 30 17:50:00 2010,temperature,41
sanantonio--sat jan 30 17:50:00 2010,dewpoint,27
sanantonio--sat jan 30 17:50:00 2010,visibility,10
sanantonio--sat jan 30 17:50:00 2010,humidity,62
sanantonio--sat jan 30 17:50:00 2010,windspeed,12
sanantonio--sat jan 30 17:50:00 2010,conditions,partly cloudy
losangeles--wed feb 3 13:25:00 2010,temperature,52
losangeles--wed feb 3 13:25:00 2010,dewpoint,46
losangeles--wed feb 3 13:25:00 2010,visibility,8
losangeles--wed feb 3 13:25:00 2010,humidity,87
losangeles--wed feb 3 13:25:00 2010,windspeed,calm
losangeles--wed feb 3 13:25:00 2010,conditions,clear
sanfrancisco--mon feb 1 13:15:00 2010,temperature,50 10
sanfrancisco--mon feb 1 13:15:00 2010,dewpoint,46
sanfrancisco--mon feb 1 13:15:00 2010,visibility,10
sanfrancisco--mon feb 1 13:15:00 2010,humidity,85
sanfrancisco--mon feb 1 13:15:00 2010,windspeed,4
sanfrancisco--mon feb 1 13:15:00 2010,conditions,mostly cloudy
houston--wed feb 3 16:30:00 2010,temperature,49
houston--wed feb 3 16:30:00 2010,dewpoint,45
houston--wed feb 3 16:30:00 2010,visibility,10
houston--wed feb 3 16:30:00 2010,humidity,85
houston--wed feb 3 16:30:00 2010,windspeed,8
houston--wed feb 3 16:30:00 2010,conditions,overcast
sanfrancisco--mon feb 1 14:50:00 2010,temperature,47
sanfrancisco--mon feb 1 14:50:00 2010,dewpoint,43
sanfrancisco--mon feb 1 14:50:00 2010,visibility,10
sanfrancisco--mon feb 1 14:50:00 2010,humidity,92
sanfrancisco--mon feb 1 14:50:00 2010,windspeed,0
sanfrancisco--mon feb 1 14:50:00 2010,conditions,mostly cloudy
denver--sun jan 31 16:45:00 2010,temperature,30
denver--sun jan 31 16:45:00 2010,dewpoint,17
denver--sun jan 31 16:45:00 2010,visibility,10
denver--sun jan 31 16:45:00 2010,humidity,66
denver--sun jan 31 16:45:00 2010,windspeed,1
denver--sun jan 31 16:45:00 2010,conditions,clear
portland--wed feb 3 14:20:00 2010,temperature,45
portland--wed feb 3 14:20:00 2010,dewpoint,39
portland--wed feb 3 14:20:00 2010,visibility,10
portland--wed feb 3 14:20:00 2010,humidity,79
portland--wed feb 3 14:20:00 2010,windspeed,16
portland--wed feb 3 14:20:00 2010,conditions,cloudy
houston--sun jan 31 04:10:00 2010,temperature,37
houston--sun jan 31 04:10:00 2010,dewpoint,28
houston--sun jan 31 04:10:00 2010,visibility,10
houston--sun jan 31 04:10:00 2010,humidity,70
houston--sun jan 31 04:10:00 2010,windspeed,13
houston--sun jan 31 04:10:00 2010,conditions,overcast
boston--tue feb 2 02:45:00 2010,temperature,28 -2
boston--tue feb 2 02:45:00 2010,dewpoint,4
boston--tue feb 2 02:45:00 2010,visibility,10
boston--tue feb 2 02:45:00 2010,humidity,35
boston--tue feb 2 02:45:00 2010,windspeed,12
boston--tue feb 2 02:45:00 2010,conditions,mostly clear
oklahomacity--tue feb 2 05:40:00 2010,temperature,32 0
oklahomacity--tue feb 2 05:40:00 2010,dewpoint,30
oklahomacity--tue feb 2 05:40:00 2010,visibility,2
oklahomacity--tue feb 2 05:40:00 2010,humidity,93
oklahomacity--tue feb 2 05:40:00 2010,windspeed,0
oklahomacity--tue feb 2 05:40:00 2010,conditions,freezing drizzle
portland--tue feb 2 01:10:00 2010,temperature,45 7
portland--tue feb 2 01:10:00 2010,dewpoint,41
portland--tue feb 2 01:10:00 2010,visibility,10
portland--tue feb 2 01:10:00 2010,humidity,96
portland--tue feb 2 01:10:00 2010,windspeed,calm
portland--tue feb 2 01:10:00 2010,conditions,light rain
elpaso--sat jan 30 23:00:00 2010,temperature,51
elpaso--sat jan 30 23:00:00 2010,dewpoint,31
elpaso--sat jan 30 23:00:00 2010,visibility,10
elpaso--sat jan 30 23:00:00 2010,humidity,45
elpaso--sat jan 30 23:00:00 2010,windspeed,7
elpaso--sat jan 30 23:00:00 2010,conditions,mostly cloudy
newyork--fri jan 29 09:30:00 2010,temperature,19 -7
newyork--fri jan 29 09:30:00 2010,dewpoint,0 -18
newyork--fri jan 29 09:30:00 2010,visibility,10
newyork--fri jan 29 09:30:00 2010,humidity,41
newyork--fri jan 29 09:30:00 2010,windspeed,14
newyork--fri jan 29 09:30:00 2010,conditions,clear sky
seattle--sun jan 31 12:20:00 2010,temperature,47
seattle--sun jan 31 12:20:00 2010,dewpoint,44
seattle--sun jan 31 12:20:00 2010,visibility,9
seattle--sun jan 31 12:20:00 2010,humidity,90
seattle--sun jan 31 12:20:00 2010,windspeed,3
seattle--sun jan 31 12:20:00 2010,conditions,light rain
sanjose--mon feb 1 19:10:00 2010,temperature,49
sanjose--mon feb 1 19:10:00 2010,dewpoint,45
sanjose--mon feb 1 19:10:00 2010,visibility,10
sanjose--mon feb 1 19:10:00 2010,humidity,83
sanjose--mon feb 1 19:10:00 2010,windspeed,0
sanjose--mon feb 1 19:10:00 2010,conditions,mostly cloudy
oklahomacity--tue feb 2 21:30:00 2010,temperature,35
oklahomacity--tue feb 2 21:30:00 2010,dewpoint,31
oklahomacity--tue feb 2 21:30:00 2010,visibility,6
oklahomacity--tue feb 2 21:30:00 2010,humidity,79
oklahomacity--tue feb 2 21:30:00 2010,windspeed,0
oklahomacity--tue feb 2 21:30:00 2010,conditions,cloudy
phoenix--mon feb 1 16:15:00 2010,temperature,49
phoenix--mon feb 1 16:15:00 2010,dewpoint,41
phoenix--mon feb 1 16:15:00 2010,visibility,10
phoenix--mon feb 1 16:15:00 2010,humidity,78
phoenix--mon feb 1 16:15:00 2010,windspeed,5
phoenix--mon feb 1 16:15:00 2010,conditions,mostly cloudy
nashville--fri jan 29 14:20:00 2010,temperature,28
nashville--fri jan 29 14:20:00 2010,dewpoint,16
nashville--fri jan 29 14:20:00 2010,visibility,10
nashville--fri jan 29 14:20:00 2010,humidity,58
nashville--fri jan 29 14:20:00 2010,windspeed,10
nashville--fri jan 29 14:20:00 2010,conditions,cloudy
fortworth--sun jan 31 17:35:00 2010,temperature,30
fortworth--sun jan 31 17:35:00 2010,dewpoint,25 -4
fortworth--sun jan 31 17:35:00 2010,visibility,10
fortworth--sun jan 31 17:35:00 2010,humidity,85
fortworth--sun jan 31 17:35:00 2010,windspeed,0
fortworth--sun jan 31 17:35:00 2010,conditions,cloudy
oklahomacity--mon feb 1 18:30:00 2010,temperature,29
oklahomacity--mon feb 1 18:30:00 2010,dewpoint,28
oklahomacity--mon feb 1 18:30:00 2010,visibility,2
oklahomacity--mon feb 1 18:30:00 2010,humidity,88
oklahomacity--mon feb 1 18:30:00 2010,windspeed,9
oklahomacity--mon feb 1 18:30:00 2010,conditions,short term forecastfog
austin--mon feb 1 23:00:00 2010,temperature,45
austin--mon feb 1 23:00:00 2010,dewpoint,41
austin--mon feb 1 23:00:00 2010,visibility,2
austin--mon feb 1 23:00:00 2010,humidity,87
austin--mon feb 1 23:00:00 2010,windspeed,0
austin--mon feb 1 23:00:00 2010,conditions,mostly cloudy
sanantonio--tue feb 2 04:10:00 2010,temperature,45
sanantonio--tue feb 2 04:10:00 2010,dewpoint,45 7
sanantonio--tue feb 2 04:10:00 2010,visibility,1
sanantonio--tue feb 2 04:10:00 2010,humidity,96
sanantonio--tue feb 2 04:10:00 2010,windspeed,3
sanantonio--tue feb 2 04:10:00 2010,conditions,mostly cloudy
dallas--wed feb 3 17:20:00 2010,temperature,43
dallas--wed feb 3 17:20:00 2010,dewpoint,37
dallas--wed feb 3 17:20:00 2010,visibility,8
dallas--wed feb 3 17:20:00 2010,humidity,81
dallas--wed feb 3 17:20:00 2010,windspeed,10
dallas--wed feb 3 17:20:00 2010,conditions,cloudy
elpaso--thu feb 4 09:45:00 2010,temperature,43 6
elpaso--thu feb 4 09:45:00 2010,dewpoint,40
elpaso--thu feb 4 09:45:00 2010,visibility,10
elpaso--thu feb 4 09:45:00 2010,humidity,88
elpaso--thu feb 4 09:45:00 2010,windspeed,5
elpaso--thu feb 4 09:45:00 2010,conditions,light rain
nashville--tue feb 2 19:00:00 2010,temperature,37
nashville--tue feb 2 19:00:00 2010,dewpoint,37
nashville--tue feb 2 19:00:00 2010,visibility,0.25
nashville--tue feb 2 19:00:00 2010,humidity,96
nashville--tue feb 2 19:00:00 2010,windspeed,0
nashville--tue feb 2 19:00:00 2010,conditions,fog
chicago--sun jan 31 07:10:00 2010,temperature,21.9
chicago--sun jan 31 07:10:00 2010,dewpoint,14
chicago--sun jan 31 07:10:00 2010,visibility,10
chicago--sun jan 31 07:10:00 2010,humidity,71
chicago--sun jan 31 07:10:00 2010,windspeed,5
chicago--sun jan 31 07:10:00 2010,conditions,mostly cloudy
phoenix--sun jan 31 06:30:00 2010,temperature,49.8
phoenix--sun jan 31 06:30:00 2010,dewpoint,42
phoenix--sun jan 31 06:30:00 2010,visibility,10
