src,timeland,conditions,dewpoint,humidity,temperature,visibility,windspeed
igoogle.wunderground.com,newyork--Mon Feb 1 19:10:00 2010,Clear,15,45,34.5,10,2.7
weather.cnn.com,newyork--Mon Feb 1 19:10:00 2010, Sunny ,,39,32,,9
www.weatherforyou.com,newyork--Mon Feb 1 19:10:00 2010, Clear,9,35, 34 1 ,10,12
weather.msn.com,austin--Thu Jan 28 17:30:00 2010,Weather WarningsCloudy,59,88,63,10,9
weather.cnn.com,austin--Thu Jan 28 17:30:00 2010,Cloudy ,,86,63,,16
www.climaton.com,austin--Thu Jan 28 17:30:00 2010,mostly cloudy,59 15,88,63 17,10,16
www2.foxnews.com,austin--Thu Jan 28 17:30:00 2010,Cloudy ,59,87,63,10,16
igoogle.wunderground.com,austin--Sun Jan 31 03:30:00 2010,Clear,26,64,37.6,10,Calm
www.weatherforyou.com,austin--Sun Jan 31 03:30:00 2010, Clear,25,59, 37 3 ,,4
weather.herald.com,austin--Sun Jan 31 03:30:00 2010, Clear,29,70,38,10,6
igoogle.wunderground.com,sanjose--Tue Feb 2 11:25:00 2010,Mostly Cloudy,46,97,47,10,Calm
weather.msn.com,sanjose--Tue Feb 2 11:25:00 2010,Mostly Cloudy,45,81,50,10,0
weather.cnn.com,sanjose--Tue Feb 2 11:25:00 2010, Intermittent Clouds ,,82,50,,0
www.weatherforyou.com,sanjose--Tue Feb 2 11:25:00 2010, Mostly Cloudy,41,80, 47 8 ,,
www2.foxnews.com,sanjose--Tue Feb 2 11:25:00 2010,Mostly Cloudy,45,83,50,10,0
www.accuweather.com,sandiego--Sun Jan 31 20:35:00 2010,Partly Sunny ,48,66,59,9,8
www.climaton.com,sandiego--Sun Jan 31 20:35:00 2010,clear sky,48 9,72,57 14,6,7
www.nytimes.com,sandiego--Sun Jan 31 20:35:00 2010,Partly Sunny,,74,58 14 ,10,7
www.accuweather.com,elpaso--Mon Feb 1 03:10:00 2010,Some Clouds ,37,56,52,10,0
weather.cnn.com,elpaso--Mon Feb 1 03:10:00 2010, Mostly Cloudy ,,48,55,,3
www.nytimes.com,elpaso--Mon Feb 1 03:10:00 2010,Mostly Cloudy,,48,55 13 ,10,3
www.climaton.com,elpaso--Mon Feb 1 03:10:00 2010,mostly cloudy,34 1,44,55 13,10,3
www.accuweather.com,baltimore--Thu Jan 28 17:15:00 2010,Cloudy ,25,55,40,10,9
weather.msn.com,baltimore--Thu Jan 28 17:15:00 2010,Mostly Cloudy,25,56,39,10,9
weather.cnn.com,baltimore--Thu Jan 28 17:15:00 2010,Cloudy ,,61,37,,6
www.climaton.com,baltimore--Thu Jan 28 17:15:00 2010,normal,25 -4,56,39 4,,
igoogle.wunderground.com,phoenix--Sat Jan 30 11:55:00 2010,Scattered Clouds,43,86,46.8,10,Calm
weather.herald.com,phoenix--Sat Jan 30 11:55:00 2010, Scattered Clouds,44,74,52,10,6
www.accuweather.com,portland--Sun Jan 31 01:25:00 2010,Cloudy ,41,82,46,10,0
www.climaton.com,portland--Sun Jan 31 01:25:00 2010,mostly cloudy,18 -8,86,21 -6,10,6
www.nytimes.com,portland--Sun Jan 31 01:25:00 2010,Mostly Cloudy,,85,44 7 ,10,8
www.accuweather.com,sanantonio--Sun Jan 31 12:25:00 2010,Cloudy ,29,88,32,6,7
weather.msn.com,sanantonio--Sun Jan 31 12:25:00 2010,Cloudy,28,86,32,10,6
weather.cnn.com,sanantonio--Sun Jan 31 12:25:00 2010,Cloudy ,,86,32,,6
www.nytimes.com,sanantonio--Sun Jan 31 12:25:00 2010,Cloudy,,88,32 0 ,6,7
www.climaton.com,sanantonio--Sun Jan 31 12:25:00 2010,mostly cloudy,28 -2,86,32 0,6,6
www.accuweather.com,austin--Sun Jan 31 17:35:00 2010,Cloudy ,29,88,32,8,12
weather.msn.com,austin--Sun Jan 31 17:35:00 2010,Cloudy,28,93,30,7,5
www.climaton.com,austin--Sun Jan 31 17:35:00 2010,mostly cloudy,28 -2,86,32 0,7,10
www2.foxnews.com,austin--Sun Jan 31 17:35:00 2010,Cloudy ,29,88,32,7,10
www.accuweather.com,oklahomacity--Sat Jan 30 07:50:00 2010,Cloudy ,19,87,22,7,9
weather.msn.com,oklahomacity--Sat Jan 30 07:50:00 2010,Short term forecastCloudy,19,93,21,7,9
weather.cnn.com,oklahomacity--Sat Jan 30 07:50:00 2010,Cloudy ,,87,22,,9
www.nytimes.com,oklahomacity--Sat Jan 30 07:50:00 2010,Cloudy,,87,22 -6 ,7,9
www.climaton.com,oklahomacity--Sat Jan 30 07:50:00 2010,mostly cloudy,16 -9,86,19 -7,10,16
www.accuweather.com,sanfrancisco--Mon Feb 1 00:15:00 2010,Clouds And Sun ,49,82,54,10,5
www.climaton.com,sanfrancisco--Mon Feb 1 00:15:00 2010,mostly cloudy,48 9,82,54 12,10,5
www.nytimes.com,sanfrancisco--Mon Feb 1 00:15:00 2010,,,75,55 13 ,10,4
igoogle.wunderground.com,sanjose--Thu Feb 4 08:10:00 2010,Partly Cloudy,49,97,50,10,Calm
www.weatherforyou.com,sanjose--Thu Feb 4 08:10:00 2010, Partly Cloudy,43,79, 50 10 ,,
weather.herald.com,sanjose--Thu Feb 4 08:10:00 2010, Partly Cloudy,48,89,51,10,
www.accuweather.com,portland--Wed Feb 3 00:35:00 2010,Clouds And Sun ,43,68,53,10,0
www.climaton.com,portland--Wed Feb 3 00:35:00 2010,mostly cloudy,11-Dec,50,28 -2,10,6
www.nytimes.com,portland--Wed Feb 3 00:35:00 2010,Sunny,,65,50 10 ,10,20
www.accuweather.com,detroit--Mon Feb 1 12:40:00 2010,Partly Cloudy ,6,80,11,8,3
www.climaton.com,detroit--Mon Feb 1 12:40:00 2010,clear sky,13-Sep,73,16 -9,10,5
www.nytimes.com,detroit--Mon Feb 1 12:40:00 2010,Clear,,80,12-Nov,8,3
igoogle.wunderground.com,sanfrancisco--Wed Feb 3 21:00:00 2010,Mostly Cloudy,52,78,59,8,3
www.weatherforyou.com,sanfrancisco--Wed Feb 3 21:00:00 2010, Mostly Cloudy,50,88, 54 12 ,8,6
igoogle.wunderground.com,sandiego--Sun Jan 31 19:00:00 2010,Haze,50,77,57.6,6,3.5
www.weatherforyou.com,sandiego--Sun Jan 31 19:00:00 2010, Partly Cloudy,50,79, 57 14 ,,1
www.nytimes.com,sandiego--Sun Jan 31 19:00:00 2010,Partly Sunny,,96,51 11 ,4,0
www2.foxnews.com,sandiego--Sun Jan 31 19:00:00 2010,Partly Cloudy ,47,86,51,4,0
www.accuweather.com,houston--Wed Feb 3 21:55:00 2010,Cloudy ,43,68,53,10,17
www.climaton.com,houston--Wed Feb 3 21:55:00 2010,mostly cloudy,43 6,67,54 12,10,17-29
www.nytimes.com,houston--Wed Feb 3 21:55:00 2010,Cloudy,,68,53 12 ,10,17
weather.cnn.com,detroit--Tue Feb 2 09:15:00 2010, Partly Cloudy ,,84,19,,0
www.weatherforyou.com,detroit--Tue Feb 2 09:15:00 2010, Partly Cloudy,16,86, 19 -7 ,9,
www2.foxnews.com,detroit--Tue Feb 2 09:15:00 2010,Partly Cloudy,15,81,19,9,0
weather.msn.com,nashville--Sat Jan 30 12:00:00 2010,Weather WarningsSnow,23,93,25,2,11
weather.cnn.com,nashville--Sat Jan 30 12:00:00 2010,Flurries ,,92,25,,12
www.weatherforyou.com,nashville--Sat Jan 30 12:00:00 2010, Snow,21,86, 25 -4 ,2 1/2,16
www2.foxnews.com,nashville--Sat Jan 30 12:00:00 2010,Snow Shower,23,90,25,2.5,12
www.accuweather.com,baltimore--Thu Feb 4 04:00:00 2010,Partly Cloudy ,26,69,35,10,9
www.nytimes.com,baltimore--Thu Feb 4 04:00:00 2010,Partly Cloudy,,69,35 2 ,10,9
www.accuweather.com,jacksonville--Wed Feb 3 00:35:00 2010,Cloudy ,54,87,57,10,6
weather.msn.com,jacksonville--Wed Feb 3 00:35:00 2010,Cloudy,52,82,57,10,11
www.climaton.com,jacksonville--Wed Feb 3 00:35:00 2010,mostly cloudy,54 12,82,59 15,10,8
www.nytimes.com,jacksonville--Wed Feb 3 00:35:00 2010,Cloudy,,77,57 14 ,10,7
weather.msn.com,phoenix--Wed Feb 3 21:50:00 2010,Mostly Cloudy,36,28,70,10,0
weather.cnn.com,phoenix--Wed Feb 3 21:50:00 2010, Intermittent Clouds ,,29,69,,0
www.weatherforyou.com,phoenix--Wed Feb 3 21:50:00 2010, Clear,42,38, 69 21 ,,2
www2.foxnews.com,phoenix--Wed Feb 3 21:50:00 2010,Mostly Cloudy ,36,32,67,10,6
weather.msn.com,jacksonville--Fri Jan 29 12:45:00 2010,Short term forecastMostly Sunny,43,93,45,10,0
weather.cnn.com,jacksonville--Fri Jan 29 12:45:00 2010,Cloudy ,,100,39,,0
www.climaton.com,jacksonville--Fri Jan 29 12:45:00 2010,mostly cloudy,43 6,81,48 9,10,0
igoogle.wunderground.com,washington--Sat Jan 30 19:20:00 2010,Light Snow,15,88,18,0.8,6
weather.cnn.com,washington--Sat Jan 30 19:20:00 2010,Snow ,,79,18,,13
www2.foxnews.com,washington--Sat Jan 30 19:20:00 2010,Snow ,12,75,18,0.25,13
www.accuweather.com,oklahomacity--Mon Feb 1 06:50:00 2010,Foggy ,23,100,23,1,5
weather.msn.com,oklahomacity--Mon Feb 1 06:50:00 2010,Weather WarningsFog,23,100,23,1,5
weather.cnn.com,oklahomacity--Mon Feb 1 06:50:00 2010,Fog ,,100,23,,5
www.climaton.com,oklahomacity--Mon Feb 1 06:50:00 2010,mostly cloudy,27 -3,93,28 -2,1,10
weather.msn.com,baltimore--Mon Feb 1 01:40:00 2010,Clear,7,53,21,10,5
weather.cnn.com,baltimore--Mon Feb 1 01:40:00 2010, Clear ,,52,21,,5
www.weatherforyou.com,baltimore--Mon Feb 1 01:40:00 2010, Clear,5,46, 23 -5 ,10,
www2.foxnews.com,baltimore--Mon Feb 1 01:40:00 2010, ,5,27,30,999,*
www.weatherforyou.com,indianapolis--Tue Feb 2 14:00:00 2010, Mostly Cloudy,24,76, 31 -1 ,,
www2.foxnews.com,indianapolis--Tue Feb 2 14:00:00 2010,Cloudy ,25,75,32,9,7
igoogle.wunderground.com,nashville--Tue Feb 2 04:50:00 2010,Overcast,32,79,37.7,10,Calm
weather.cnn.com,nashville--Tue Feb 2 04:50:00 2010,Cloudy ,,78,36,,0
www.weatherforyou.com,nashville--Tue Feb 2 04:50:00 2010, Overcast,30,81, 36 2 ,10,
www2.foxnews.com,nashville--Tue Feb 2 04:50:00 2010,Cloudy ,30,82,35,10,0
igoogle.wunderground.com,sandiego--Wed Feb 3 03:35:00 2010,Mostly Cloudy,52,82,57,10,3.5
www.weatherforyou.com,sandiego--Wed Feb 3 03:35:00 2010, Mostly Cloudy,52,82, 57 14 ,,
weather.herald.com,sandiego--Wed Feb 3 03:35:00 2010, Mostly Cloudy,51,75,59,10,6
www.accuweather.com,detroit--Sun Jan 31 18:25:00 2010,Cloudy ,13,70,21,6,14
www.nytimes.com,detroit--Sun Jan 31 18:25:00 2010,Cloudy,,70,21 -6 ,6,14
weather.msn.com,sanantonio--Sun Jan 31 05:00:00 2010,Clear,34,70,43,10,8
weather.cnn.com,sanantonio--Sun Jan 31 05:00:00 2010, Clear ,,70,41,,8
www.weatherforyou.com,sanantonio--Sun Jan 31 05:00:00 2010, Clear,30,62, 42 6 ,,
weather.herald.com,sanantonio--Sun Jan 31 05:00:00 2010, Clear,32,76,39,10,6
www2.foxnews.com,sanantonio--Sun Jan 31 05:00:00 2010,Mostly Clear,32,65,43,10,7
www.accuweather.com,chicago--Wed Feb 3 04:30:00 2010,Cloudy ,23,81,28,5,10
weather.msn.com,chicago--Wed Feb 3 04:30:00 2010,Snow,21,74,28,5,10
